miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	9677	6634.876123	N
hsa-let-7a-2	9465	6489.521805	N
hsa-let-7a-3	9794	6715.095252	N
hsa-let-7b	10968	7520.029071	N
hsa-let-7c	1489	1020.908396	N
hsa-let-7d	636	436.062955	N
hsa-let-7e	1870	1282.134789	N
hsa-let-7f-1	3776	2588.952386	N
hsa-let-7f-2	3660	2509.418891	N
hsa-let-7g	701	480.629137	N
hsa-let-7i	875	599.929380	N
hsa-mir-100	3007	2061.700166	N
hsa-mir-101-1	6033	4136.427369	N
hsa-mir-101-2	6045	4144.654972	N
hsa-mir-103a-1	44002	30169.248648	Y
hsa-mir-103a-2	44153	30272.779319	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	44	30.167877	N
hsa-mir-105-2	31	21.254641	N
hsa-mir-106a	30	20.569007	Y
hsa-mir-106b	1055	723.343424	N
hsa-mir-107	181	124.099677	Y
hsa-mir-10a	20112	13789.462498	N
hsa-mir-10b	65115	44645.030356	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	24	16.455206	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.685634	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	2.056901	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	2.742534	N
