miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	66254	13637.738088	N
hsa-let-7a-2	133048	27386.629895	Y
hsa-let-7a-3	66364	13660.380512	N
hsa-let-7b	131995	27169.880141	N
hsa-let-7c	55887	11503.792503	Y
hsa-let-7d	1878	386.567937	N
hsa-let-7e	5805	1194.902490	N
hsa-let-7f-1	20922	4306.589131	N
hsa-let-7f-2	21234	4370.811280	N
hsa-let-7g	2375	488.870528	N
hsa-let-7i	2902	597.348325	N
hsa-mir-100	62836	12934.176208	Y
hsa-mir-101-1	26663	5488.317847	N
hsa-mir-101-2	27103	5578.887545	N
hsa-mir-103a-1	110273	22698.618833	Y
hsa-mir-103a-2	111732	22998.939717	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.411680	N
hsa-mir-105-2	2	0.411680	N
hsa-mir-106a	47	9.674490	Y
hsa-mir-106b	1883	387.597139	N
hsa-mir-107	509	104.772673	Y
hsa-mir-10a	128216	26392.009941	N
hsa-mir-10b	686688	141348.010565	N
hsa-mir-1-1	16	3.293444	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	86	17.702259	N
hsa-mir-1181	2	0.411680	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.411680	N
hsa-mir-1185-2	1	0.205840	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.205840	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	19	3.910964	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	6	1.235041	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.823361	N
hsa-mir-1227	1	0.205840	N
hsa-mir-1228	4	0.823361	N
hsa-mir-1229	5	1.029201	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	27	5.557686	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	156	32.111075	N
hsa-mir-1248	3	0.617521	N
hsa-mir-1249	11	2.264242	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.411680	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	3	0.617521	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	5668	1166.702380	N
hsa-mir-125b-1	3212	661.158794	N
hsa-mir-125b-2	3328	685.036260	N
hsa-mir-126	19241	3960.571717	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.411680	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	58	11.938733	N
