miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	15255	8680.377737	N
hsa-let-7a-2	15398	8761.747388	N
hsa-let-7a-3	15482	8809.544944	N
hsa-let-7b	75169	42772.554188	N
hsa-let-7c	773	439.851327	N
hsa-let-7d	772	439.282308	N
hsa-let-7e	1436	817.110615	N
hsa-let-7f-1	1848	1051.546251	N
hsa-let-7f-2	1846	1050.408214	N
hsa-let-7g	1048	596.331424	N
hsa-let-7i	673	382.949473	N
hsa-mir-100	1009	574.139701	N
hsa-mir-101-1	8100	4609.050126	N
hsa-mir-101-2	8145	4634.655960	N
hsa-mir-103a-1	22917	13040.197745	Y
hsa-mir-103a-2	22880	13019.144060	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	38	21.622704	Y
hsa-mir-106b	413	235.004655	N
hsa-mir-107	123	69.989280	Y
hsa-mir-10a	111948	63700.486852	N
hsa-mir-10b	44923	25562.019606	N
hsa-mir-1-1	4	2.276074	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	1.138037	N
hsa-mir-1180	23	13.087426	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	17	9.673315	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.569019	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.569019	N
hsa-mir-1229	2	1.138037	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	12	6.828222	N
hsa-mir-124-2	22	12.518408	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	17	9.673315	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	1.138037	N
hsa-mir-1245b	0	0.000000	N
