miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	81598	8926.291746	N
hsa-let-7a-2	162332	17758.067498	Y
hsa-let-7a-3	82131	8984.598488	N
hsa-let-7b	224621	24572.079932	N
hsa-let-7c	65798	7197.874265	Y
hsa-let-7d	2780	304.113962	N
hsa-let-7e	7154	782.601181	N
hsa-let-7f-1	24096	2635.946051	N
hsa-let-7f-2	24399	2669.092285	N
hsa-let-7g	4257	465.688178	N
hsa-let-7i	4344	475.205414	N
hsa-mir-100	93686	10248.640512	Y
hsa-mir-101-1	68187	7459.215364	N
hsa-mir-101-2	68565	7500.566111	N
hsa-mir-103a-1	214043	23414.915368	Y
hsa-mir-103a-2	215042	23524.199486	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.218787	N
hsa-mir-106a	185	20.237800	Y
hsa-mir-106b	8591	939.799657	N
hsa-mir-107	2111	230.929703	Y
hsa-mir-10a	206395	22578.273792	N
hsa-mir-10b	344457	37681.360768	N
hsa-mir-1-1	13	1.422116	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.218787	N
hsa-mir-1180	167	18.268716	N
hsa-mir-1181	1	0.109394	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	13	1.422116	N
hsa-mir-1185-2	3	0.328181	N
hsa-mir-1193	1	0.109394	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	27	2.953625	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.109394	N
hsa-mir-1225	1	0.109394	N
hsa-mir-1226	5	0.546968	N
hsa-mir-1227	1	0.109394	N
hsa-mir-1228	14	1.531509	N
hsa-mir-1229	3	0.328181	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.109394	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.109394	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.109394	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	29	3.172412	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	606	66.292468	N
hsa-mir-1248	15	1.640903	N
hsa-mir-1249	34	3.719379	N
hsa-mir-1250	3	0.328181	N
hsa-mir-1251	6	0.656361	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.218787	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.656361	N
hsa-mir-125a	5190	567.752324	N
hsa-mir-125b-1	4734	517.868883	N
hsa-mir-125b-2	5086	556.375399	N
hsa-mir-126	22665	2479.403937	N
hsa-mir-1260a	1	0.109394	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.656361	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	54	5.907250	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3	0.328181	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	17629	1928.498213	N
hsa-mir-1270	4	0.437574	N
hsa-mir-1271	24	2.625444	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.218787	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.109394	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	761	83.248462	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	578	63.229450	N
hsa-mir-1283-1	1	0.109394	N
hsa-mir-1283-2	1	0.109394	N
hsa-mir-1284	2	0.218787	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	263	28.770494	N
hsa-mir-1288	5	0.546968	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.437574	N
hsa-mir-129-1	5	0.546968	N
hsa-mir-1292	2	0.218787	N
hsa-mir-129-2	6	0.656361	N
hsa-mir-1293	1	0.109394	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	14	1.531509	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	48	5.250889	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	62	6.782398	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	0.546968	N
hsa-mir-1305	3	0.328181	N
hsa-mir-1306	24	2.625444	N
hsa-mir-1307	5755	629.559658	N
hsa-mir-130a	1354	148.118814	N
hsa-mir-130b	132	14.439944	N
hsa-mir-132	793	86.749055	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.218787	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	37	4.047560	Y
hsa-mir-133a-2	24	2.625444	Y
