miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	52161	9262.606919	N
hsa-let-7a-2	51821	9202.230654	N
hsa-let-7a-3	52396	9304.337573	N
hsa-let-7b	132659	23557.220362	N
hsa-let-7c	13210	2345.795468	N
hsa-let-7d	2278	404.520975	N
hsa-let-7e	4462	792.349688	N
hsa-let-7f-1	19653	3489.925687	N
hsa-let-7f-2	19466	3456.718742	N
hsa-let-7g	2510	445.718897	N
hsa-let-7i	2222	394.576649	N
hsa-mir-100	22940	4073.622107	Y
hsa-mir-101-1	38152	6774.927229	N
hsa-mir-101-2	38143	6773.329034	N
hsa-mir-103a-1	42917	7621.082823	Y
hsa-mir-103a-2	43391	7705.254440	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	74	13.140716	Y
hsa-mir-106b	2938	521.721959	N
hsa-mir-107	493	87.545584	Y
hsa-mir-10a	993350	176396.360945	N
hsa-mir-10b	316633	56226.817290	N
hsa-mir-1-1	2	0.355154	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	133	23.617774	N
hsa-mir-1181	3	0.532732	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.710309	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	16	2.841236	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.177577	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.355154	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.775772	N
hsa-mir-1229	2	0.355154	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.177577	N
hsa-mir-1244-1	1	0.177577	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	2.308504	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	207	36.758491	N
hsa-mir-1248	8	1.420618	N
hsa-mir-1249	14	2.486081	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	223	39.599727	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.177577	N
hsa-mir-1255a	2	0.355154	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.177577	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	1.243041	N
hsa-mir-125a	3672	652.063661	N
hsa-mir-125b-1	1747	310.227455	N
hsa-mir-125b-2	1841	326.919717	N
hsa-mir-126	14433	2562.972444	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.177577	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	76	13.495871	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	9344	1659.281821	N
hsa-mir-1270	10	1.775772	N
hsa-mir-1271	18	3.196390	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.355154	N
