miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	59829	14597.541043	N
hsa-let-7a-2	120329	29358.797843	Y
hsa-let-7a-3	60466	14752.961218	N
hsa-let-7b	143459	35002.233708	N
hsa-let-7c	24521	5982.822777	Y
hsa-let-7d	1671	407.703473	N
hsa-let-7e	3861	942.036570	N
hsa-let-7f-1	23533	5741.762914	N
hsa-let-7f-2	23332	5692.721383	N
hsa-let-7g	2282	556.779967	N
hsa-let-7i	2372	578.738862	N
hsa-mir-100	32318	7885.194996	Y
hsa-mir-101-1	24780	6046.015595	N
hsa-mir-101-2	24898	6074.806146	N
hsa-mir-103a-1	29977	7314.019754	Y
hsa-mir-103a-2	29656	7235.699697	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	144	35.134231	Y
hsa-mir-106b	1427	348.170470	N
hsa-mir-107	274	66.852634	Y
hsa-mir-10a	78184	19075.935565	N
hsa-mir-10b	368938	90016.339857	N
hsa-mir-1-1	5	1.219939	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	18	4.391779	N
hsa-mir-1181	1	0.243988	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.243988	N
hsa-mir-1185-2	2	0.487975	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	4	0.975951	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.975951	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.487975	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	2.927853	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	228	55.629199	N
hsa-mir-1248	3	0.731963	N
hsa-mir-1249	5	1.219939	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.975951	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.487975	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.731963	N
hsa-mir-125a	2619	639.003827	N
hsa-mir-125b-1	1503	366.713537	N
hsa-mir-125b-2	1598	389.892370	N
hsa-mir-126	9478	2312.515569	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.463926	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	20	4.879754	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4931	1203.103426	N
hsa-mir-1270	7	1.707914	N
hsa-mir-1271	6	1.463926	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.731963	N
hsa-mir-1278	1	0.243988	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	182	44.405764	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	144	35.134231	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.243988	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	109	26.594661	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.487975	N
hsa-mir-129-1	1	0.243988	N
hsa-mir-1292	1	0.243988	N
hsa-mir-129-2	3	0.731963	N
hsa-mir-1293	1	0.243988	N
hsa-mir-1294	3	0.731963	N
hsa-mir-1295a	3	0.731963	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	18	4.391779	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	27	6.587668	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
