miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	47984	16328.402893	N
hsa-let-7a-2	48021	16340.993568	N
hsa-let-7a-3	48157	16387.272802	N
hsa-let-7b	109122	37132.960581	N
hsa-let-7c	8248	2806.699464	N
hsa-let-7d	1224	416.513111	N
hsa-let-7e	3298	1122.271439	N
hsa-let-7f-1	16963	5772.313652	N
hsa-let-7f-2	17551	5972.403284	N
hsa-let-7g	1701	578.830721	N
hsa-let-7i	1822	620.005628	N
hsa-mir-100	5157	1754.867742	N
hsa-mir-101-1	15196	5171.023891	N
hsa-mir-101-2	15121	5145.502254	N
hsa-mir-103a-1	85257	29011.975773	Y
hsa-mir-103a-2	84594	28786.364504	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	96	32.667695	Y
hsa-mir-106b	1341	456.326865	N
hsa-mir-107	225	76.564910	Y
hsa-mir-10a	52752	17950.898413	N
hsa-mir-10b	191677	65225.476855	N
hsa-mir-1-1	11	3.743173	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	57	19.396444	N
hsa-mir-1181	1	0.340288	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.680577	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	8	2.722308	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	1.361154	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.340288	N
hsa-mir-1229	3	1.020865	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.340288	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.340288	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	20	6.805770	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	29	9.868366	N
hsa-mir-1248	2	0.680577	N
hsa-mir-1249	6	2.041731	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.340288	N
hsa-mir-1254-2	2	0.680577	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
