miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	42299	15729.154659	N
hsa-let-7a-2	42296	15728.039090	N
hsa-let-7a-3	42539	15818.400199	N
hsa-let-7b	57747	21473.592616	N
hsa-let-7c	661	245.797093	N
hsa-let-7d	5723	2128.134285	N
hsa-let-7e	2745	1020.745870	N
hsa-let-7f-1	12336	4587.220782	N
hsa-let-7f-2	12577	4676.838179	N
hsa-let-7g	3050	1134.162077	N
hsa-let-7i	2195	816.224839	N
hsa-mir-100	2834	1053.841091	N
hsa-mir-101-1	25696	9555.222537	N
hsa-mir-101-2	25726	9566.378230	N
hsa-mir-103a-1	50150	18648.599403	Y
hsa-mir-103a-2	49790	18514.731092	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	7	2.602995	N
hsa-mir-105-2	3	1.115569	N
hsa-mir-106a	382	142.049152	Y
hsa-mir-106b	4481	1666.288613	N
hsa-mir-107	350	130.149747	Y
hsa-mir-10a	35120	13059.597428	N
hsa-mir-10b	72094	26808.616657	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1178	1	0.371856	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	25	9.296410	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	1	0.371856	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	1.487426	N
hsa-mir-1225	1	0.371856	N
hsa-mir-1226	5	1.859282	N
hsa-mir-1227	1	0.371856	N
hsa-mir-1228	4	1.487426	N
hsa-mir-1229	2	0.743713	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.371856	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	2.231139	N
hsa-mir-1245b	1	0.371856	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	1.859282	N
hsa-mir-1248	45	16.733539	N
hsa-mir-1249	10	3.718564	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
