miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	33156	10876.514687	N
hsa-let-7a-2	33082	10852.239681	N
hsa-let-7a-3	33370	10946.715379	N
hsa-let-7b	60579	19872.372518	N
hsa-let-7c	9856	3233.168318	N
hsa-let-7d	965	316.559195	N
hsa-let-7e	5311	1742.223715	N
hsa-let-7f-1	12919	4237.956727	N
hsa-let-7f-2	13201	4330.464181	N
hsa-let-7g	1411	462.865310	N
hsa-let-7i	2116	694.133945	N
hsa-mir-100	25253	8284.009693	Y
hsa-mir-101-1	18132	5948.032462	N
hsa-mir-101-2	18051	5921.461172	N
hsa-mir-103a-1	69005	22636.442754	Y
hsa-mir-103a-2	68850	22585.596458	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	28	9.185137	Y
hsa-mir-106b	885	290.315946	N
hsa-mir-107	265	86.930763	Y
hsa-mir-10a	61986	20333.925665	N
hsa-mir-10b	239282	78494.214840	N
hsa-mir-1-1	5	1.640203	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	17	5.576690	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.328041	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.328041	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	0.984122	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.328041	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	1.312162	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.656081	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	1.640203	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	54	17.714193	N
hsa-mir-1248	1	0.328041	N
hsa-mir-1249	9	2.952366	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	5	1.640203	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.656081	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.328041	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.656081	N
hsa-mir-125a	6938	2275.945799	N
hsa-mir-125b-1	1732	568.166348	N
hsa-mir-125b-2	1756	576.039323	N
hsa-mir-126	10019	3286.638938	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.656081	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	37	12.137503	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.656081	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2020	662.642046	N
hsa-mir-1270	2	0.656081	N
hsa-mir-1271	9	2.952366	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
