miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	65437	16987.379595	N
hsa-let-7a-2	65433	16986.341199	N
hsa-let-7a-3	65787	17078.239244	N
hsa-let-7b	127544	33110.294528	N
hsa-let-7c	2134	553.984261	N
hsa-let-7d	1769	459.230626	N
hsa-let-7e	8190	2126.115789	N
hsa-let-7f-1	14088	3657.230676	N
hsa-let-7f-2	14322	3717.976841	N
hsa-let-7g	2792	724.800401	N
hsa-let-7i	1781	462.345814	N
hsa-mir-100	8596	2231.512982	N
hsa-mir-101-1	20964	5442.233382	N
hsa-mir-101-2	20704	5374.737643	N
hsa-mir-103a-1	96784	25125.029367	Y
hsa-mir-103a-2	95985	24917.609768	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.259599	N
hsa-mir-105-2	2	0.519198	N
hsa-mir-106a	6	1.557594	N
hsa-mir-106b	1640	425.742356	N
hsa-mir-107	704	182.757694	Y
hsa-mir-10a	47358	12294.089320	N
hsa-mir-10b	101905	26454.435833	N
hsa-mir-1-1	11	2.855589	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	167	43.353033	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.259599	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	4	1.038396	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.259599	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	2.336391	N
hsa-mir-1229	3	0.778797	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	24	6.230376	N
hsa-mir-1248	2	0.519198	N
hsa-mir-1249	4	1.038396	N
hsa-mir-1250	1	0.259599	N
hsa-mir-1251	3	0.778797	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	1.038396	N
hsa-mir-1254-2	2	0.519198	N
hsa-mir-1255a	2	0.519198	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	5208	1351.991579	N
hsa-mir-125b-1	660	171.335338	N
hsa-mir-125b-2	669	173.671729	N
hsa-mir-126	12475	3238.497493	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	87	22.585113	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1451	376.678145	N
hsa-mir-1270	6	1.557594	N
hsa-mir-1271	4	1.038396	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	9	2.336391	N
hsa-mir-1278	1	0.259599	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	374	97.090025	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	296	76.841303	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	1.297995	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	172	44.651028	N
hsa-mir-1288	2	0.519198	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-129-1	2	0.519198	N
hsa-mir-1292	2	0.519198	N
hsa-mir-129-2	2	0.519198	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.259599	N
hsa-mir-1295a	103	26.738697	N
hsa-mir-1295b	1	0.259599	N
hsa-mir-1296	18	4.672782	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	60	15.575940	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.259599	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.259599	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	26	6.749574	N
hsa-mir-1307	3007	780.614185	N
hsa-mir-130a	156	40.497444	N
hsa-mir-130b	166	43.093434	N
hsa-mir-132	384	99.686015	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.778797	N
hsa-mir-133a-2	6	1.557594	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	476	123.569123	N
hsa-mir-1343	5	1.297995	N
hsa-mir-135a-1	12	3.115188	N
hsa-mir-135a-2	9	2.336391	N
hsa-mir-135b	25	6.489975	N
hsa-mir-136	83	21.546717	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	151	39.199449	N
hsa-mir-140	2929	760.365463	N
hsa-mir-141	10444	2711.251929	N
hsa-mir-142	3193	828.899599	N
hsa-mir-143	213610	55452.941841	N
hsa-mir-144	186	48.285414	N
