miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	223067	20681.864477	N
hsa-let-7a-2	444664	41227.436535	Y
hsa-let-7a-3	222205	20601.943344	N
hsa-let-7b	205690	19070.739752	N
hsa-let-7c	104345	9674.443772	Y
hsa-let-7d	2001	185.524577	N
hsa-let-7e	21563	1999.233610	N
hsa-let-7f-1	89829	8328.579324	N
hsa-let-7f-2	91386	8472.938028	N
hsa-let-7g	8635	800.602060	N
hsa-let-7i	5136	476.189019	N
hsa-mir-100	60022	5564.995583	N
hsa-mir-101-1	55941	5186.621870	N
hsa-mir-101-2	57900	5368.252378	N
hsa-mir-103a-1	278446	25816.379994	Y
hsa-mir-103a-2	279837	25945.347853	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.185432	N
hsa-mir-105-2	1	0.092716	N
hsa-mir-106a	160	14.834549	Y
hsa-mir-106b	5147	477.208894	N
hsa-mir-107	1398	129.616871	Y
hsa-mir-10a	325940	30219.830398	N
hsa-mir-10b	675233	62604.855923	N
hsa-mir-1-1	14	1.298023	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.092716	N
hsa-mir-1180	138	12.794798	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.463580	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.092716	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	20	1.854319	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	11	1.019875	N
hsa-mir-1224	1	0.092716	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.185432	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.741727	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
