miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	17377	7295.402725	N
hsa-let-7a-2	34781	14602.140886	Y
hsa-let-7a-3	17625	7399.520805	N
hsa-let-7b	23480	9857.631121	N
hsa-let-7c	8960	3761.685470	Y
hsa-let-7d	1262	529.826681	N
hsa-let-7e	2822	1184.762991	N
hsa-let-7f-1	9575	4019.881515	N
hsa-let-7f-2	10280	4315.862348	N
hsa-let-7g	1351	567.191637	N
hsa-let-7i	1290	541.581948	N
hsa-mir-100	4939	2073.545149	N
hsa-mir-101-1	11130	4672.718670	N
hsa-mir-101-2	11239	4718.480245	N
hsa-mir-103a-1	62120	26079.899711	Y
hsa-mir-103a-2	62869	26394.353106	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	47	19.732055	N
hsa-mir-105-2	49	20.571717	N
hsa-mir-106a	284	119.231995	Y
hsa-mir-106b	1920	806.075458	N
hsa-mir-107	287	120.491488	Y
hsa-mir-10a	36866	15477.488454	N
hsa-mir-10b	207778	87231.638798	N
hsa-mir-1-1	4	1.679324	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	33	13.854422	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	8	3.358648	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	4	1.679324	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.419831	N
hsa-mir-1226	2	0.839662	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.419831	N
hsa-mir-1229	2	0.839662	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	2.938817	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	1.679324	N
hsa-mir-1248	13	5.457803	N
hsa-mir-1249	0	0.000000	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.419831	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.419831	N
hsa-mir-1255a	1	0.419831	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2188	918.590157	N
hsa-mir-125b-1	804	337.544098	N
hsa-mir-125b-2	840	352.658013	N
hsa-mir-126	9188	3857.406931	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	2.099155	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	82	34.426139	N
hsa-mir-1269b	13	5.457803	N
hsa-mir-127	952	399.679081	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	4	1.679324	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.419831	N
hsa-mir-1277	3	1.259493	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	220	92.362813	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	97	40.723604	N
hsa-mir-1283-1	1	0.419831	N
hsa-mir-1283-2	1	0.419831	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	68	28.548506	N
hsa-mir-1288	1	0.419831	N
hsa-mir-1289-1	1	0.419831	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	1.679324	N
hsa-mir-129-1	3	1.259493	N
hsa-mir-1292	1	0.419831	N
hsa-mir-129-2	3	1.259493	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	8	3.358648	N
hsa-mir-1295b	25	10.495774	N
hsa-mir-1296	27	11.335436	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	28	11.755267	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	25	10.495774	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	17	7.137126	N
hsa-mir-1307	2969	1246.478143	N
hsa-mir-130a	203	85.225686	N
hsa-mir-130b	91	38.204618	N
hsa-mir-132	249	104.537911	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.419831	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2	0.839662	N
hsa-mir-133a-2	2	0.839662	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	341	143.162360	N
hsa-mir-1343	1	0.419831	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	824	345.940717	N
hsa-mir-136	134	56.257350	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.419831	N
hsa-mir-139	188	78.928222	N
hsa-mir-140	4059	1704.093898	N
hsa-mir-141	2678	1124.307331	N
hsa-mir-142	4824	2025.264588	N
hsa-mir-143	85531	35908.562495	N
hsa-mir-144	1447	607.495410	N
hsa-mir-145	2965	1244.798819	N
hsa-mir-1468	65	27.289013	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	368	154.497796	N
hsa-mir-146b	3979	1670.507420	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	1.259493	N
hsa-mir-148a	46841	19665.302356	N
hsa-mir-148b	291	122.170812	N
hsa-mir-149	153	64.234138	N
hsa-mir-150	2049	860.233653	N
hsa-mir-151a	6626	2781.799992	N
hsa-mir-151b	2	0.839662	N
hsa-mir-152	203	85.225686	N
hsa-mir-153-1	3	1.259493	N
hsa-mir-153-2	72	30.227830	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	22	9.236281	N
hsa-mir-155	754	316.552550	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	586	246.020947	N
hsa-mir-15b	391	164.153908	N
hsa-mir-16-1	523	219.571596	N
hsa-mir-16-2	528	221.670751	N
hsa-mir-17	4712	1978.243520	Y
hsa-mir-181a-1	2287	960.153423	N
hsa-mir-181a-2	2934	1231.784059	N
hsa-mir-181b-1	373	156.596951	N
hsa-mir-181b-2	311	130.567431	N
hsa-mir-181c	194	81.447208	N
hsa-mir-181d	31	13.014760	N
hsa-mir-182	141961	59599.623999	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	64369	27024.099557	N
hsa-mir-184	13	5.457803	N
hsa-mir-185	206	86.485179	N
hsa-mir-186	981	411.854179	N
hsa-mir-187	37	15.533746	N
hsa-mir-188	11	4.618141	N
hsa-mir-18a	90	37.784787	N
hsa-mir-18b	1	0.419831	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	2	0.839662	N
