miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	19062	8106.053132	N
hsa-let-7a-2	19084	8115.408560	N
hsa-let-7a-3	19143	8140.498117	N
hsa-let-7b	35164	14953.375949	N
hsa-let-7c	3602	1531.738715	N
hsa-let-7d	1812	770.547071	N
hsa-let-7e	3025	1286.371353	N
hsa-let-7f-1	8169	3473.840522	N
hsa-let-7f-2	8162	3470.863795	N
hsa-let-7g	1361	578.760797	N
hsa-let-7i	1798	764.593617	N
hsa-mir-100	9750	4146.155599	Y
hsa-mir-101-1	9603	4083.644330	N
hsa-mir-101-2	9503	4041.119658	N
hsa-mir-103a-1	74109	31514.609777	Y
hsa-mir-103a-2	74450	31659.618911	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	391	166.271471	N
hsa-mir-105-2	392	166.696717	N
hsa-mir-106a	118	50.179114	Y
hsa-mir-106b	1761	748.859488	N
hsa-mir-107	341	145.009134	Y
hsa-mir-10a	35033	14897.668627	N
hsa-mir-10b	123043	52323.633172	N
hsa-mir-1-1	3	1.275740	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	25	10.631168	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	15	6.378701	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.425247	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	3.827221	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	3.827221	N
hsa-mir-1229	3	1.275740	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.425247	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.425247	N
hsa-mir-1238	1	0.425247	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	3.401974	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	72	30.617764	N
hsa-mir-1248	1	0.425247	N
hsa-mir-1249	6	2.551480	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.850493	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.425247	N
hsa-mir-1255a	1	0.425247	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	2.551480	N
hsa-mir-125a	2198	934.692308	N
hsa-mir-125b-1	738	313.832085	N
hsa-mir-125b-2	728	309.579618	N
hsa-mir-126	12562	5341.949399	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.425247	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.425247	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	5.102961	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	2.126234	N
hsa-mir-1269b	3	1.275740	N
hsa-mir-127	2315	984.446176	N
hsa-mir-1270	1	0.425247	N
hsa-mir-1271	9	3.827221	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.425247	N
hsa-mir-1275	1	0.425247	N
hsa-mir-1276	1	0.425247	N
hsa-mir-1277	6	2.551480	N
hsa-mir-1278	1	0.425247	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	208	88.451319	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	131	55.707321	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	124	52.730594	N
hsa-mir-1288	1	0.425247	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.850493	N
hsa-mir-129-1	1	0.425247	N
hsa-mir-1292	5	2.126234	N
hsa-mir-129-2	3	1.275740	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	14	5.953454	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	35	14.883635	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
