miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	17064	4823.430611	N
hsa-let-7a-2	17133	4842.934638	N
hsa-let-7a-3	17989	5084.897636	N
hsa-let-7b	46381	13110.380637	N
hsa-let-7c	5060	1430.295294	N
hsa-let-7d	2655	750.481029	N
hsa-let-7e	1233	348.528478	N
hsa-let-7f-1	3439	972.091999	N
hsa-let-7f-2	3508	991.596026	N
hsa-let-7g	1870	528.587391	N
hsa-let-7i	693	195.888268	N
hsa-mir-100	537	151.792208	N
hsa-mir-101-1	4498	1271.436409	N
hsa-mir-101-2	4467	1262.673731	N
hsa-mir-103a-1	75354	21300.093195	Y
hsa-mir-103a-2	74599	21086.679569	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	256	72.362766	Y
hsa-mir-106b	1959	553.744759	N
hsa-mir-107	351	99.216136	Y
hsa-mir-10a	11988	3388.612645	N
hsa-mir-10b	688839	194712.090885	N
hsa-mir-1-1	2	0.565334	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	14	3.957339	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	3.109338	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	4	1.130668	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.565334	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	1.130668	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.282667	N
hsa-mir-1248	3	0.848001	N
hsa-mir-1249	2	0.565334	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.282667	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.282667	N
hsa-mir-125a	461	130.309512	N
hsa-mir-125b-1	304	85.930784	N
hsa-mir-125b-2	312	88.192121	N
hsa-mir-126	5830	1647.948925	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	77	21.765363	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	1.413335	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	405	114.480157	N
hsa-mir-1270	3	0.848001	N
hsa-mir-1271	2	0.565334	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.848001	N
hsa-mir-1277	5	1.413335	N
hsa-mir-1278	1	0.282667	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	152	42.965392	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	90	25.440035	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.282667	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.282667	N
hsa-mir-1287	80	22.613364	N
hsa-mir-1288	3	0.848001	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.282667	N
hsa-mir-129-1	1	0.282667	N
hsa-mir-1292	1	0.282667	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.282667	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	29	8.197345	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	162	45.792063	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.565334	N
