miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	183431	25201.976743	N
hsa-let-7a-2	367534	50496.281001	Y
hsa-let-7a-3	183410	25199.091508	N
hsa-let-7b	176427	24239.682228	N
hsa-let-7c	83269	11440.505702	Y
hsa-let-7d	5390	740.543608	N
hsa-let-7e	76211	10470.792012	N
hsa-let-7f-1	88918	12216.633873	N
hsa-let-7f-2	90601	12447.864837	N
hsa-let-7g	7165	984.414648	N
hsa-let-7i	4954	680.640638	N
hsa-mir-100	105139	14445.271698	Y
hsa-mir-101-1	42172	5794.101124	N
hsa-mir-101-2	42427	5829.136118	N
hsa-mir-103a-1	233714	32110.465475	Y
hsa-mir-103a-2	236218	32454.495381	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	23	3.160019	N
hsa-mir-105-2	21	2.885235	N
hsa-mir-106a	387	53.170756	Y
hsa-mir-106b	13620	1871.280881	N
hsa-mir-107	2000	274.784270	Y
hsa-mir-10a	54200	7446.653725	N
hsa-mir-10b	104248	14322.855305	N
hsa-mir-1-1	18	2.473058	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	618	84.908340	N
hsa-mir-1181	4	0.549569	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.824353	N
hsa-mir-1185-2	2	0.274784	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.686961	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	20	2.747843	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	1.099137	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	20	2.747843	N
hsa-mir-1227	4	0.549569	N
hsa-mir-1228	4	0.549569	N
hsa-mir-1229	3	0.412176	N
hsa-mir-1231	3	0.412176	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.137392	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.137392	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	14	1.923490	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	3	0.412176	N
hsa-mir-1247	1379	189.463754	N
hsa-mir-1248	9	1.236529	N
hsa-mir-1249	7	0.961745	N
hsa-mir-1250	3	0.412176	N
hsa-mir-1251	4	0.549569	N
hsa-mir-1252	1	0.137392	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.274784	N
hsa-mir-1254-2	1	0.137392	N
hsa-mir-1255a	5	0.686961	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	14	1.923490	N
hsa-mir-125a	7803	1072.070831	N
hsa-mir-125b-1	3151	432.922618	N
hsa-mir-125b-2	3380	464.385417	N
hsa-mir-126	5326	731.750512	N
hsa-mir-1260a	2	0.274784	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.786098	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	48	6.594822	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	46	6.320038	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	8569	1177.313206	N
hsa-mir-1270	38	5.220901	N
hsa-mir-1271	107	14.700958	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.274784	N
hsa-mir-1277	1	0.137392	N
hsa-mir-1278	1	0.137392	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1793	246.344098	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	1361	186.990696	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.412176	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.137392	N
hsa-mir-1287	231	31.737583	N
hsa-mir-1288	45	6.182646	N
hsa-mir-1289-1	1	0.137392	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.137392	N
hsa-mir-129-1	47	6.457430	N
hsa-mir-1292	5	0.686961	N
hsa-mir-129-2	54	7.419175	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.274784	N
hsa-mir-1295a	15	2.060882	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	62	8.518312	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	7	0.961745	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	180	24.730584	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
