miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	34770	24395.120976	N
hsa-let-7a-2	34675	24328.467640	N
hsa-let-7a-3	35002	24557.895438	N
hsa-let-7b	97341	68295.814521	N
hsa-let-7c	5030	3529.118738	N
hsa-let-7d	1233	865.090140	N
hsa-let-7e	4051	2842.238570	N
hsa-let-7f-1	4234	2970.633943	N
hsa-let-7f-2	4138	2903.278993	N
hsa-let-7g	1648	1156.259976	N
hsa-let-7i	1086	761.952873	N
hsa-mir-100	3289	2307.608654	N
hsa-mir-101-1	6145	4311.418418	N
hsa-mir-101-2	6181	4336.676524	N
hsa-mir-103a-1	48164	33792.539738	Y
hsa-mir-103a-2	47662	33440.329478	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	102	71.564634	Y
hsa-mir-106b	736	516.387950	N
hsa-mir-107	215	150.847024	Y
hsa-mir-10a	114564	80379.713531	N
hsa-mir-10b	89323	62670.272963	N
hsa-mir-1-1	8	5.612913	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.701614	N
hsa-mir-1180	5	3.508070	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	11	7.717755	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	1	0.701614	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.701614	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
