miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	29703	8575.132952	N
hsa-let-7a-2	29595	8543.953799	N
hsa-let-7a-3	30067	8680.218243	N
hsa-let-7b	65327	18859.634055	N
hsa-let-7c	1533	442.570744	N
hsa-let-7d	1992	575.082141	N
hsa-let-7e	3356	968.863286	N
hsa-let-7f-1	7326	2114.985826	N
hsa-let-7f-2	7311	2110.655389	N
hsa-let-7g	1377	397.534191	N
hsa-let-7i	1423	410.814200	N
hsa-mir-100	3712	1071.639010	N
hsa-mir-101-1	20099	5802.497970	N
hsa-mir-101-2	19956	5761.214463	N
hsa-mir-103a-1	99340	28679.046137	Y
hsa-mir-103a-2	99372	28688.284405	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.288696	N
hsa-mir-106a	44	12.702618	Y
hsa-mir-106b	2521	727.802248	N
hsa-mir-107	823	237.596688	Y
hsa-mir-10a	27389	7907.090745	N
hsa-mir-10b	198285	57244.057412	N
hsa-mir-1-1	3	0.866088	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	181	52.253950	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.866088	N
hsa-mir-1185-2	1	0.288696	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	4	1.154783	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.288696	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.443479	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	1.154783	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.288696	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
