miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	51030	9866.724775	N
hsa-let-7a-2	102600	19837.859336	Y
hsa-let-7a-3	51332	9925.116915	N
hsa-let-7b	223715	43255.620872	N
hsa-let-7c	21182	4095.570531	Y
hsa-let-7d	1851	357.893544	N
hsa-let-7e	3292	636.512992	N
hsa-let-7f-1	10305	1992.486749	N
hsa-let-7f-2	10719	2072.534252	N
hsa-let-7g	1519	293.700861	N
hsa-let-7i	2087	403.524488	N
hsa-mir-100	12268	2372.035656	N
hsa-mir-101-1	20715	4005.275401	N
hsa-mir-101-2	20518	3967.185164	N
hsa-mir-103a-1	40817	7892.026360	Y
hsa-mir-103a-2	40001	7734.251572	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	53	10.247627	Y
hsa-mir-106b	1288	249.036675	N
hsa-mir-107	261	50.464730	Y
hsa-mir-10a	1122949	217123.823626	N
hsa-mir-10b	394237	76226.297770	N
hsa-mir-1-1	5	0.966757	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	37	7.154004	N
hsa-mir-1181	1	0.193351	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.193351	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	11	2.126866	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.193351	N
hsa-mir-1224	2	0.386703	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.386703	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.386703	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.193351	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.193351	N
hsa-mir-124-3	1	0.193351	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	14	2.706920	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	40	7.734058	N
hsa-mir-1248	3	0.580054	N
hsa-mir-1249	6	1.160109	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	10	1.933515	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	11	2.126866	N
hsa-mir-125a	4252	822.130389	N
hsa-mir-125b-1	1572	303.948488	N
hsa-mir-125b-2	1595	308.395572	N
hsa-mir-126	10111	1954.976567	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.386703	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	71	13.727953	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	49	9.474221	N
hsa-mir-1269b	2	0.386703	N
hsa-mir-127	4292	829.864447	N
hsa-mir-1270	7	1.353460	N
hsa-mir-1271	14	2.706920	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.580054	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.580054	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	151	29.196070	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	133	25.715744	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.193351	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	128	24.748986	N
hsa-mir-1288	2	0.386703	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.193351	N
hsa-mir-129-1	1	0.193351	N
hsa-mir-1292	2	0.386703	N
hsa-mir-129-2	2	0.386703	N
hsa-mir-1293	1	0.193351	N
hsa-mir-1294	2	0.386703	N
hsa-mir-1295a	8	1.546812	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	26	5.027138	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	52	10.054276	N
