miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	53020	5807.333867	N
hsa-let-7a-2	105949	11604.700414	Y
hsa-let-7a-3	53273	5835.045212	N
hsa-let-7b	66251	7256.538590	N
hsa-let-7c	9246	1012.723669	Y
hsa-let-7d	6286	688.511895	N
hsa-let-7e	12847	1407.144817	N
hsa-let-7f-1	27024	2959.965870	N
hsa-let-7f-2	27871	3052.738631	N
hsa-let-7g	3440	376.786656	N
hsa-let-7i	2032	222.567001	N
hsa-mir-100	9551	1046.130626	N
hsa-mir-101-1	102998	11281.474419	N
hsa-mir-101-2	103817	11371.180312	N
hsa-mir-103a-1	510821	55950.737335	Y
hsa-mir-103a-2	509694	55827.295893	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.219062	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	60	6.571860	Y
hsa-mir-106b	9331	1022.033805	N
hsa-mir-107	3149	344.913134	Y
hsa-mir-10a	156892	17184.538384	N
hsa-mir-10b	343250	37596.517352	N
hsa-mir-1-1	4	0.438124	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.219062	N
hsa-mir-1180	353	38.664445	N
hsa-mir-1181	1	0.109531	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.109531	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	2	0.219062	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.109531	N
hsa-mir-1224	3	0.328593	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	37	4.052647	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.547655	N
hsa-mir-1229	17	1.862027	N
hsa-mir-1231	2	0.219062	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.876248	N
hsa-mir-1245b	1	0.109531	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	24	2.628744	N
hsa-mir-1248	20	2.190620	N
hsa-mir-1249	12	1.314372	N
hsa-mir-1250	18	1.971558	N
hsa-mir-1251	30	3.285930	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.328593	N
hsa-mir-1254-2	7	0.766717	N
hsa-mir-1255a	7	0.766717	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.109531	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	6637	726.957278	N
hsa-mir-125b-1	752	82.367316	N
hsa-mir-125b-2	836	91.567920	N
hsa-mir-126	32608	3571.587000	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	233	25.520724	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2818	308.658371	N
hsa-mir-1270	3	0.328593	N
hsa-mir-1271	9	0.985779	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.219062	N
hsa-mir-1276	4	0.438124	N
hsa-mir-1277	20	2.190620	N
hsa-mir-1278	1	0.109531	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1018	111.502563	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	637	69.771250	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.328593	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.109531	N
hsa-mir-1287	774	84.776998	N
hsa-mir-1288	8	0.876248	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.219062	N
hsa-mir-129-1	19	2.081089	N
hsa-mir-1292	4	0.438124	N
hsa-mir-129-2	18	1.971558	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.109531	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	1	0.109531	N
hsa-mir-1296	52	5.695612	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.109531	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	182	19.934643	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.109531	N
hsa-mir-1304	163	17.853554	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	50	5.476550	N
hsa-mir-1307	48217	5281.256452	N
hsa-mir-130a	222	24.315883	N
hsa-mir-130b	210	23.001511	N
hsa-mir-132	1355	148.414511	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.328593	N
hsa-mir-133a-2	4	0.438124	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	734	80.395757	N
hsa-mir-1343	28	3.066868	N
hsa-mir-135a-1	5	0.547655	N
hsa-mir-135a-2	4	0.438124	N
hsa-mir-135b	1	0.109531	N
hsa-mir-136	128	14.019969	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	1018	111.502563	N
hsa-mir-140	4797	525.420229	N
hsa-mir-141	28126	3080.669037	N
hsa-mir-142	3987	436.700116	N
hsa-mir-143	260785	28564.043052	N
hsa-mir-144	1770	193.869878	N
hsa-mir-145	5373	588.510088	N
hsa-mir-1468	60	6.571860	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	158	17.305899	N
hsa-mir-146b	2463	269.774864	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.328593	N
hsa-mir-148a	171513	18785.991204	N
hsa-mir-148b	1703	186.531301	N
hsa-mir-149	4058	444.476817	N
hsa-mir-150	1254	137.351880	N
hsa-mir-151a	24664	2701.472699	N
hsa-mir-151b	24	2.628744	N
hsa-mir-152	1048	114.788493	N
hsa-mir-153-1	3	0.328593	N
hsa-mir-153-2	73	7.995763	N
hsa-mir-1537	2	0.219062	N
hsa-mir-1538	1	0.109531	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	20	2.190620	N
hsa-mir-155	425	46.550677	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	966	105.806951	N
hsa-mir-15b	2483	271.965485	N
hsa-mir-16-1	1513	165.720410	N
hsa-mir-16-2	1569	171.854146	N
hsa-mir-17	6608	723.780879	Y
hsa-mir-181a-1	25705	2815.494475	N
hsa-mir-181a-2	26794	2934.773739	N
hsa-mir-181b-1	4726	517.643528	N
hsa-mir-181b-2	4341	475.474091	N
hsa-mir-181c	426	46.660208	N
hsa-mir-181d	75	8.214825	N
hsa-mir-182	649398	71129.215369	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	286084	31335.067939	N
hsa-mir-184	52	5.695612	N
hsa-mir-185	687	75.247800	N
hsa-mir-186	2158	236.367908	N
hsa-mir-187	2	0.219062	N
hsa-mir-188	22	2.409682	N
hsa-mir-18a	49	5.367019	N
hsa-mir-18b	1	0.109531	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	59	6.462329	N
hsa-mir-190b	392	42.936154	N
hsa-mir-191	11105	1216.341807	N
hsa-mir-1910	14	1.533434	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.109531	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	5838	639.442005	Y
hsa-mir-193a	11410	1249.748763	N
hsa-mir-193b	3004	329.031138	N
hsa-mir-194-1	809	88.610583	N
hsa-mir-194-2	846	92.663230	N
hsa-mir-195	250	27.382751	N
hsa-mir-196a-1	3475	380.620241	N
hsa-mir-196a-2	4032	441.629011	N
hsa-mir-196b	453	49.617545	N
hsa-mir-197	3432	375.910408	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	117	12.815128	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	10309	1129.155127	Y
hsa-mir-199a-2	18464	2022.380470	Y
hsa-mir-199b	25139	2753.499926	Y
hsa-mir-19a	103	11.281693	N
hsa-mir-19b-1	292	31.983053	N
hsa-mir-19b-2	265	29.025716	N
hsa-mir-200a	20785	2276.601932	N
hsa-mir-200b	14174	1552.492460	N
hsa-mir-200c	188483	20644.732353	N
hsa-mir-202	3	0.328593	N
hsa-mir-203a	212046	23225.611416	N
hsa-mir-203b	3	0.328593	N
hsa-mir-204	18	1.971558	N
hsa-mir-205	146	15.991527	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	21	2.300151	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1497	163.967914	N
hsa-mir-20b	99	10.843569	N
hsa-mir-21	2204189	241427.035647	N
hsa-mir-210	5951	651.819009	N
hsa-mir-211	16	1.752496	N
hsa-mir-2110	8	0.876248	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	17	1.862027	N
hsa-mir-2115	64	7.009984	N
hsa-mir-2116	2	0.219062	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	35	3.833585	N
hsa-mir-214	113	12.377004	N
hsa-mir-215	46	5.038426	Y
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	68	7.448108	N
hsa-mir-218-1	119	13.034190	N
hsa-mir-218-2	95	10.405445	N
hsa-mir-219a-1	34	3.724054	N
hsa-mir-219a-2	1	0.109531	N
hsa-mir-219b	9	0.985779	N
hsa-mir-22	321850	35252.553852	N
hsa-mir-221	440	48.193642	N
hsa-mir-222	106	11.610286	N
hsa-mir-223	1733	189.817231	N
hsa-mir-224	78	8.543418	N
hsa-mir-2276	9	0.985779	N
hsa-mir-2277	12	1.314372	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	164	17.963085	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	33446	3663.373982	Y
hsa-mir-23b	24239	2654.922022	Y
hsa-mir-23c	8	0.876248	N
hsa-mir-24-1	4053	443.929162	N
hsa-mir-24-2	4084	447.324623	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	139953	15329.192696	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	4036	442.067135	N
hsa-mir-26a-2	4150	454.553669	N
hsa-mir-26b	5228	572.628092	N
hsa-mir-27a	12056	1320.505792	Y
hsa-mir-27b	24972	2735.208249	Y
hsa-mir-28	52187	5716.094541	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	22	2.409682	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	3	0.328593	N
hsa-mir-29a	21999	2409.572572	N
hsa-mir-29b-1	4142	453.677421	Y
hsa-mir-29b-2	2746	300.772139	N
hsa-mir-29c	31559	3456.688976	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	381	41.731313	N
hsa-mir-301b	25	2.738275	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	5	0.547655	N
hsa-mir-3065	7244	793.442598	N
hsa-mir-3074	137	15.005748	N
hsa-mir-30a	83828	9181.765059	Y
hsa-mir-30b	13328	1459.829230	Y
hsa-mir-30c-1	4416	483.688917	Y
hsa-mir-30c-2	4542	497.489823	Y
hsa-mir-30d	160161	17542.595239	N
hsa-mir-30e	190189	20831.592247	Y
hsa-mir-31	4	0.438124	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	1	0.109531	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	2	0.219062	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	379	41.512251	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	19	2.081089	N
hsa-mir-3130-2	17	1.862027	N
hsa-mir-3131	2	0.219062	N
hsa-mir-3132	1	0.109531	N
hsa-mir-3133	0	0.000000	N
