miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	59249	13727.063832	N
hsa-let-7a-2	119200	27616.770052	Y
hsa-let-7a-3	59787	13851.709992	N
hsa-let-7b	99815	23125.569654	N
hsa-let-7c	64084	14847.257483	Y
hsa-let-7d	1737	402.435651	N
hsa-let-7e	8721	2020.518889	N
hsa-let-7f-1	19818	4591.519705	N
hsa-let-7f-2	19795	4586.190966	N
hsa-let-7g	2250	521.289703	N
hsa-let-7i	1960	454.101253	N
hsa-mir-100	62534	14488.146799	Y
hsa-mir-101-1	55781	12923.582636	N
hsa-mir-101-2	56460	13080.896285	N
hsa-mir-103a-1	67328	15598.841393	Y
hsa-mir-103a-2	68092	15775.848208	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	52	12.047584	Y
hsa-mir-106b	1632	378.108798	N
hsa-mir-107	656	151.984909	Y
hsa-mir-10a	4409	1021.496134	N
hsa-mir-10b	308480	71469.976725	N
hsa-mir-1-1	78	18.071376	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.463369	N
hsa-mir-1180	129	29.887276	N
hsa-mir-1181	1	0.231684	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.621790	N
hsa-mir-1185-2	1	0.231684	N
hsa-mir-1193	1	0.231684	N
hsa-mir-1197	23	5.328739	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	97	22.473378	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.463369	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.463369	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.695053	N
hsa-mir-1229	1	0.231684	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.695053	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.231684	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	4.170318	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	278	64.408239	N
hsa-mir-1248	1	0.231684	N
hsa-mir-1249	2	0.463369	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.926737	N
hsa-mir-1254-2	3	0.695053	N
hsa-mir-1255a	1	0.231684	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.231684	N
hsa-mir-1258	12	2.780212	N
hsa-mir-125a	4857	1125.290706	N
hsa-mir-125b-1	5452	1263.142872	N
hsa-mir-125b-2	5994	1388.715769	N
hsa-mir-126	18455	4275.733987	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.390106	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	1.390106	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.231684	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	27414	6351.393743	N
hsa-mir-1270	18	4.170318	N
hsa-mir-1271	41	9.499057	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
