miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	70212	6497.752134	N
hsa-let-7a-2	69973	6475.633938	N
hsa-let-7a-3	70522	6526.441007	N
hsa-let-7b	189227	17511.965805	N
hsa-let-7c	53075	4911.812718	N
hsa-let-7d	5533	512.050113	N
hsa-let-7e	6014	556.564139	N
hsa-let-7f-1	17995	1665.342814	N
hsa-let-7f-2	18045	1669.970052	N
hsa-let-7g	5332	493.448618	N
hsa-let-7i	9578	886.393636	N
hsa-mir-100	172421	15956.658701	Y
hsa-mir-101-1	64601	5978.483530	N
hsa-mir-101-2	65063	6021.239206	N
hsa-mir-103a-1	97867	9057.077253	Y
hsa-mir-103a-2	97790	9049.951308	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.092545	N
hsa-mir-105-2	1	0.092545	N
hsa-mir-106a	114	10.550102	Y
hsa-mir-106b	4127	381.932192	N
hsa-mir-107	730	67.557669	Y
hsa-mir-10a	350010	32391.588682	N
hsa-mir-10b	2786901	257913.062164	N
hsa-mir-1-1	64	5.922864	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.185090	N
hsa-mir-1180	116	10.735191	N
hsa-mir-1181	1	0.092545	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.555269	N
hsa-mir-1185-2	4	0.370179	N
hsa-mir-1193	1	0.092545	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	58	5.367596	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.092545	N
hsa-mir-1225	2	0.185090	N
hsa-mir-1226	14	1.295627	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	37	3.424156	N
hsa-mir-1229	5	0.462724	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.185090	N
hsa-mir-1236	2	0.185090	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	34	3.146522	N
hsa-mir-1245b	1	0.092545	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1454	134.560070	N
hsa-mir-1248	16	1.480716	N
hsa-mir-1249	51	4.719782	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.092545	N
hsa-mir-1252	1	0.092545	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.092545	N
hsa-mir-1254-2	2	0.185090	N
hsa-mir-1255a	8	0.740358	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	134	12.400997	N
hsa-mir-125a	13010	1204.007225	N
hsa-mir-125b-1	16371	1515.050137	N
hsa-mir-125b-2	16906	1564.561579	N
hsa-mir-126	123675	11445.472216	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.110537	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	98	9.069386	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	18224	1686.535562	N
hsa-mir-1270	13	1.203082	N
hsa-mir-1271	57	5.275051	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.092545	N
hsa-mir-1278	3	0.277634	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	351	32.483208	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	213	19.712032	N
hsa-mir-1283-1	1	0.092545	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	442	40.904780	N
hsa-mir-1288	2	0.185090	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.462724	N
hsa-mir-129-1	50	4.627238	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	67	6.200498	N
hsa-mir-1293	2	0.185090	N
hsa-mir-1294	3	0.277634	N
hsa-mir-1295a	13	1.203082	N
hsa-mir-1295b	1	0.092545	N
hsa-mir-1296	136	12.586086	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	79	7.311035	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.092545	N
hsa-mir-1304	67	6.200498	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	98	9.069386	N
hsa-mir-1307	7487	692.882559	N
hsa-mir-130a	3304	305.767861	N
hsa-mir-130b	160	14.807160	N
hsa-mir-132	642	59.413731	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.092545	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	183	16.935690	Y
hsa-mir-133a-2	174	16.102787	Y
hsa-mir-133b	24	2.221074	Y
hsa-mir-134	6932	641.520222	N
hsa-mir-1343	22	2.035985	N
hsa-mir-135a-1	7	0.647813	N
hsa-mir-135a-2	1	0.092545	N
hsa-mir-135b	33	3.053977	N
hsa-mir-136	452	41.830228	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	4	0.370179	N
hsa-mir-138-2	2	0.185090	N
hsa-mir-139	5374	497.335498	N
hsa-mir-140	18600	1721.332389	N
hsa-mir-141	3060	283.186941	N
hsa-mir-142	10380	960.614527	N
hsa-mir-143	777584	71961.318515	N
hsa-mir-144	1096	101.429048	N
hsa-mir-145	120343	11137.113102	N
hsa-mir-1468	119	11.012825	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1253	115.958574	N
hsa-mir-146b	3860	357.222743	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.185090	N
hsa-mir-148a	258110	23886.725964	N
hsa-mir-148b	884	81.809561	N
hsa-mir-149	1451	134.282435	N
hsa-mir-150	12899	1193.734757	N
hsa-mir-151a	12247	1133.395579	N
hsa-mir-151b	22	2.035985	N
hsa-mir-152	2825	261.438925	N
hsa-mir-153-1	29	2.683798	N
hsa-mir-153-2	510	47.197824	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	210	19.434398	N
hsa-mir-155	4810	445.140258	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1132	104.760659	N
hsa-mir-15b	830	76.812144	N
hsa-mir-16-1	2482	229.696075	N
hsa-mir-16-2	2529	234.045678	N
hsa-mir-17	5629	520.934410	Y
hsa-mir-181a-1	5500	508.996137	N
hsa-mir-181a-2	11206	1037.056492	N
hsa-mir-181b-1	693	64.133513	N
hsa-mir-181b-2	671	62.097529	N
hsa-mir-181c	597	55.249217	N
hsa-mir-181d	83	7.681214	N
hsa-mir-182	36869	3412.032465	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	7445	688.995679	N
hsa-mir-184	6	0.555269	N
hsa-mir-185	295	27.300702	N
hsa-mir-186	4447	411.546513	N
hsa-mir-187	117	10.827736	N
hsa-mir-188	14	1.295627	N
hsa-mir-18a	179	16.565511	Y
hsa-mir-18b	8	0.740358	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	53	4.904872	N
hsa-mir-190b	13	1.203082	N
hsa-mir-191	6538	605.057589	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	3	0.277634	N
hsa-mir-1914	3	0.277634	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2057	190.364555	Y
hsa-mir-193a	6974	645.407101	N
hsa-mir-193b	2157	199.619030	N
hsa-mir-194-1	294	27.208157	N
hsa-mir-194-2	327	30.262134	N
hsa-mir-195	2078	192.307995	N
hsa-mir-196a-1	280	25.912531	N
hsa-mir-196a-2	365	33.778835	N
hsa-mir-196b	2135	197.583046	N
hsa-mir-197	7008	648.553623	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	87	8.051393	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	48697	4506.651793	Y
hsa-mir-199a-2	87491	8096.832906	Y
hsa-mir-199b	123539	11432.886129	Y
hsa-mir-19a	115	10.642646	N
hsa-mir-19b-1	599	55.434307	N
hsa-mir-19b-2	612	56.637388	N
hsa-mir-200a	1393	128.914840	N
hsa-mir-200b	2154	199.341396	N
hsa-mir-200c	24374	2255.685788	N
hsa-mir-202	13	1.203082	N
hsa-mir-203a	13390	1239.174231	N
hsa-mir-203b	89	8.236483	N
hsa-mir-204	430	39.794243	N
hsa-mir-205	90055	8334.117650	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.092545	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1350	124.935415	N
hsa-mir-20b	72	6.663222	N
hsa-mir-21	852618	78905.321444	N
hsa-mir-210	727	67.280035	N
hsa-mir-211	2	0.185090	N
hsa-mir-2110	20	1.850895	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	4	0.370179	N
hsa-mir-2115	1	0.092545	N
hsa-mir-2116	6	0.555269	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	43	3.979424	N
hsa-mir-214	834	77.182323	N
hsa-mir-215	190	17.583503	Y
hsa-mir-216a	9	0.832903	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	497	45.994742	N
hsa-mir-218-1	923	85.418806	N
hsa-mir-218-2	902	83.475366	N
hsa-mir-219a-1	5	0.462724	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	2	0.185090	N
hsa-mir-22	1468722	135922.513390	N
hsa-mir-221	2453	227.012277	N
hsa-mir-222	998	92.359663	N
hsa-mir-223	2873	265.881073	N
hsa-mir-224	912	84.400814	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	14	1.295627	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	1554	143.814545	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	73121	6766.964818	Y
