miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	11774	6960.640516	N
hsa-let-7a-2	11668	6897.974651	N
hsa-let-7a-3	11715	6925.760459	N
hsa-let-7b	39833	23548.767936	N
hsa-let-7c	1866	1103.155699	N
hsa-let-7d	2643	1562.508314	N
hsa-let-7e	2796	1652.959987	N
hsa-let-7f-1	3336	1972.201186	N
hsa-let-7f-2	3388	2002.942931	N
hsa-let-7g	737	435.705118	N
hsa-let-7i	660	390.183688	N
hsa-mir-100	4097	2422.094802	N
hsa-mir-101-1	1382	817.020995	N
hsa-mir-101-2	1387	819.976932	N
hsa-mir-103a-1	36849	21784.664717	Y
hsa-mir-103a-2	36533	21597.849497	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	110	65.030615	Y
hsa-mir-106b	1592	941.170350	N
hsa-mir-107	246	145.432102	Y
hsa-mir-10a	17330	10245.277743	N
hsa-mir-10b	280515	165836.935143	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	108	63.848240	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.591187	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	1.773562	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	7.685436	N
hsa-mir-1227	1	0.591187	N
hsa-mir-1228	1	0.591187	N
hsa-mir-1229	5	2.955937	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	1.182375	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.591187	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	1.182375	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	23	13.597310	N
hsa-mir-1248	11	6.503061	N
hsa-mir-1249	5	2.955937	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	2.364750	N
hsa-mir-1254-2	4	2.364750	N
hsa-mir-1255a	1	0.591187	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.591187	N
hsa-mir-125a	4185	2474.119293	N
hsa-mir-125b-1	812	480.044174	N
hsa-mir-125b-2	813	480.635361	N
hsa-mir-126	4509	2665.664013	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	146	86.313361	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11	6.503061	N
hsa-mir-1269b	1	0.591187	N
hsa-mir-127	1563	924.025915	N
hsa-mir-1270	3	1.773562	N
hsa-mir-1271	5	2.955937	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.591187	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	121	71.533676	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	75	44.339055	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	1.773562	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	94	55.571616	N
hsa-mir-1288	2	1.182375	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	1.182375	N
hsa-mir-129-1	11	6.503061	N
hsa-mir-1292	4	2.364750	N
hsa-mir-129-2	5	2.955937	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.591187	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	9	5.320687	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	88	52.024492	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	2.955937	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	37	21.873934	N
hsa-mir-1307	5407	3196.550303	N
hsa-mir-130a	69	40.791931	N
hsa-mir-130b	88	52.024492	N
hsa-mir-132	127	75.080801	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2	1.182375	N
hsa-mir-133a-2	4	2.364750	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	1091	644.985460	N
hsa-mir-1343	6	3.547124	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	1	0.591187	N
hsa-mir-135b	1	0.591187	N
hsa-mir-136	23	13.597310	N
hsa-mir-137	1	0.591187	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	42	24.829871	N
hsa-mir-140	790	467.038051	N
hsa-mir-141	1000	591.187406	N
hsa-mir-142	1514	895.057732	N
hsa-mir-143	23623	13965.620088	N
hsa-mir-144	28	16.553247	N
hsa-mir-145	1970	1164.639189	N
hsa-mir-1468	5	2.955937	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	128	75.671988	N
hsa-mir-146b	889	525.565604	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	1.182375	N
hsa-mir-148a	24968	14760.767148	N
hsa-mir-148b	431	254.801772	N
hsa-mir-149	2655	1569.602562	N
hsa-mir-150	1490	880.869235	N
