miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	117178	16931.379925	N
hsa-let-7a-2	117292	16947.852107	N
hsa-let-7a-3	117138	16925.600212	N
hsa-let-7b	64891	9376.283728	N
hsa-let-7c	8005	1156.665042	N
hsa-let-7d	1242	179.460085	N
hsa-let-7e	4444	642.126102	N
hsa-let-7f-1	2039	294.620865	N
hsa-let-7f-2	2029	293.175936	N
hsa-let-7g	691	99.844540	N
hsa-let-7i	782	112.993387	N
hsa-mir-100	12319	1780.007077	N
hsa-mir-101-1	20496	2961.524885	N
hsa-mir-101-2	20466	2957.190100	N
hsa-mir-103a-1	52463	7580.526934	Y
hsa-mir-103a-2	52903	7644.103775	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.288986	N
hsa-mir-105-2	1	0.144493	N
hsa-mir-106a	358	51.728430	Y
hsa-mir-106b	1756	253.729396	N
hsa-mir-107	790	114.149330	Y
hsa-mir-10a	1097995	158652.396363	N
hsa-mir-10b	176670	25527.546906	N
hsa-mir-1-1	22	3.178842	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.288986	N
hsa-mir-1180	54	7.802612	N
hsa-mir-1181	2	0.288986	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.433478	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	19	2.745364	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.144493	N
hsa-mir-1224	27	3.901306	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.722464	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.577971	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	96	13.871311	N
hsa-mir-124-2	123	17.772617	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	129	18.639574	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.144493	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	102	14.738268	N
hsa-mir-1248	12	1.733914	N
hsa-mir-1249	8	1.155943	N
hsa-mir-1250	7	1.011450	N
hsa-mir-1251	10	1.444928	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.722464	N
hsa-mir-125a	6528	943.249144	N
hsa-mir-125b-1	1013	146.371229	N
hsa-mir-125b-2	1039	150.128042	N
hsa-mir-126	22784	3292.124462	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.577971	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	28	4.045799	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	43	6.213191	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2736	395.332362	N
hsa-mir-1270	2	0.288986	N
hsa-mir-1271	19	2.745364	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	9	1.300435	N
hsa-mir-1276	1	0.144493	N
hsa-mir-1277	4	0.577971	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	578	83.516851	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	431	62.276406	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.433478	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	270	39.013062	N
hsa-mir-1288	8	1.155943	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	14	2.022900	N
hsa-mir-129-1	2	0.288986	N
hsa-mir-1292	3	0.433478	N
hsa-mir-129-2	1	0.144493	N
hsa-mir-1293	1	0.144493	N
hsa-mir-1294	5	0.722464	N
hsa-mir-1295a	2	0.288986	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	24	3.467828	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	62	8.958555	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	46	6.646670	N
hsa-mir-1307	2623	379.004673	N
hsa-mir-130a	172	24.852765	N
hsa-mir-130b	180	26.008708	N
hsa-mir-132	362	52.306402	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	14	2.022900	Y
hsa-mir-133a-2	20	2.889856	Y
hsa-mir-133b	8	1.155943	Y
hsa-mir-134	2096	302.856955	N
hsa-mir-1343	4	0.577971	N
hsa-mir-135a-1	23	3.323335	N
hsa-mir-135a-2	32	4.623770	N
hsa-mir-135b	6	0.866957	N
hsa-mir-136	58	8.380584	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	363	52.450894	N
hsa-mir-140	1537	222.085468	N
hsa-mir-141	10004	1445.506194	N
hsa-mir-142	6720	970.991765	N
hsa-mir-143	229355	33140.151246	N
hsa-mir-144	152	21.962909	N
hsa-mir-145	5221	754.397025	N
hsa-mir-1468	4	0.577971	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	318	45.948717	N
hsa-mir-146b	886	128.020641	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	0.722464	N
hsa-mir-148a	242330	35014.945615	N
hsa-mir-148b	1127	162.843411	N
hsa-mir-149	261	37.712627	N
hsa-mir-150	2040	294.765357	N
hsa-mir-151a	9696	1401.002405	N
hsa-mir-151b	20	2.889856	N
hsa-mir-152	1518	219.340104	N
hsa-mir-153-1	8	1.155943	N
hsa-mir-153-2	533	77.014674	N
hsa-mir-1537	2	0.288986	N
hsa-mir-1538	1	0.144493	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	24	3.467828	N
hsa-mir-155	1432	206.913721	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	569	82.216416	N
hsa-mir-15b	1394	201.422994	N
hsa-mir-16-1	4151	599.789705	N
hsa-mir-16-2	4068	587.796801	N
hsa-mir-17	2565	370.624089	Y
