miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	138078	11380.213768	N
hsa-let-7a-2	275840	22734.383216	Y
hsa-let-7a-3	139462	11494.281294	N
hsa-let-7b	415726	34263.610053	N
hsa-let-7c	35750	2946.469692	Y
hsa-let-7d	4918	405.335327	N
hsa-let-7e	7006	577.425641	N
hsa-let-7f-1	27341	2253.410570	N
hsa-let-7f-2	27424	2260.251324	N
hsa-let-7g	6548	539.677861	N
hsa-let-7i	6669	549.650528	N
hsa-mir-100	68975	5684.832085	Y
hsa-mir-101-1	80398	6626.301268	N
hsa-mir-101-2	80301	6618.306651	N
hsa-mir-103a-1	110842	9135.457165	Y
hsa-mir-103a-2	111770	9211.941749	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	242	19.945333	Y
hsa-mir-106b	4975	410.033195	N
hsa-mir-107	1172	96.594755	Y
hsa-mir-10a	1110555	91530.535646	N
hsa-mir-10b	723210	59606.051645	N
hsa-mir-1-1	65	5.357218	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.164837	N
hsa-mir-1180	146	12.033135	N
hsa-mir-1181	5	0.412094	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.329675	N
hsa-mir-1185-2	2	0.164837	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.082419	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	66	5.439636	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	0.494512	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	18	1.483537	N
hsa-mir-1229	5	0.412094	N
hsa-mir-1231	1	0.082419	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.164837	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	46	3.791262	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	281	23.159664	N
hsa-mir-1248	12	0.989025	N
hsa-mir-1249	24	1.978050	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	740	60.989862	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.329675	N
hsa-mir-1254-2	5	0.412094	N
hsa-mir-1255a	5	0.412094	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.082419	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.494512	N
hsa-mir-125a	6661	548.991178	N
hsa-mir-125b-1	4599	379.043751	N
hsa-mir-125b-2	4846	399.401178	N
hsa-mir-126	83961	6919.959213	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.247256	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	162	13.351835	N
hsa-mir-1267	1	0.082419	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	12	0.989025	N
hsa-mir-1269b	2	0.164837	N
hsa-mir-127	14483	1193.670505	N
hsa-mir-1270	10	0.824187	N
hsa-mir-1271	34	2.802237	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.164837	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	21	1.730793	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1247	102.776160	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	824	67.913036	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	12	0.989025	N
