miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	7454	7610.152724	N
hsa-let-7a-2	7176	7326.328944	N
hsa-let-7a-3	7540	7697.954325	N
hsa-let-7b	37649	38437.703233	N
hsa-let-7c	794	810.633386	N
hsa-let-7d	1274	1300.688834	N
hsa-let-7e	1147	1171.028330	N
hsa-let-7f-1	1261	1287.416499	N
hsa-let-7f-2	1211	1236.369057	N
hsa-let-7g	878	896.393090	N
hsa-let-7i	403	411.442386	N
hsa-mir-100	562	573.773253	N
hsa-mir-101-1	901	919.874913	N
hsa-mir-101-2	834	851.471340	N
hsa-mir-103a-1	10477	10696.481096	Y
hsa-mir-103a-2	10452	10670.957374	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	137	139.869992	N
hsa-mir-105-2	135	137.828095	N
hsa-mir-106a	211	215.420207	Y
hsa-mir-106b	781	797.361051	N
hsa-mir-107	121	123.534811	Y
hsa-mir-10a	4322	4412.540927	N
hsa-mir-10b	27649	28228.214738	N
hsa-mir-1-1	2	2.041898	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	2	2.041898	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	1.020949	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	1.020949	N
hsa-mir-1224	1	1.020949	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	1.020949	N
hsa-mir-1229	1	1.020949	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	5.104744	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	135	137.828095	N
hsa-mir-1248	3	3.062847	N
hsa-mir-1249	2	2.041898	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	4.083795	N
hsa-mir-1252	1	1.020949	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	1.020949	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	758	773.879228	N
hsa-mir-125b-1	136	138.849044	N
hsa-mir-125b-2	158	161.309918	N
hsa-mir-126	8169	8340.131151	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	44	44.921749	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	26	26.544670	N
hsa-mir-1269b	72	73.508317	N
hsa-mir-127	368	375.709177	N
hsa-mir-1270	28	28.586568	N
hsa-mir-1271	1	1.020949	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	1.020949	N
hsa-mir-1277	1	1.020949	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	57	58.194084	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	34	34.712261	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	1.020949	N
hsa-mir-1285-1	1	1.020949	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	42	42.879852	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	1.020949	N
hsa-mir-129-1	1	1.020949	N
hsa-mir-1292	2	2.041898	N
hsa-mir-129-2	1	1.020949	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	1.020949	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	5	5.104744	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	45	45.942698	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	1.020949	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	26	26.544670	N
hsa-mir-1307	770	786.130614	N
hsa-mir-130a	75	76.571164	N
hsa-mir-130b	45	45.942698	N
hsa-mir-132	44	44.921749	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	0	0.000000	N
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	345	352.227353	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	15	15.314233	N
hsa-mir-135a-2	26	26.544670	N
hsa-mir-135b	636	649.323468	N
hsa-mir-136	29	29.607517	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	1.020949	N
hsa-mir-138-2	1	1.020949	N
hsa-mir-139	26	26.544670	N
hsa-mir-140	2049	2091.924193	N
hsa-mir-141	2620	2674.885986	N
hsa-mir-142	3454	3526.357326	N
hsa-mir-143	16541	16887.514919	N
hsa-mir-144	80	81.675908	N
hsa-mir-145	2461	2512.555118	N
hsa-mir-1468	4	4.083795	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	236	240.943928	N
hsa-mir-146b	1478	1508.962399	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	5.104744	N
hsa-mir-148a	191672	195687.307870	N
hsa-mir-148b	303	309.347501	N
hsa-mir-149	36	36.754159	N
hsa-mir-150	720	735.083172	N
hsa-mir-151a	2076	2119.489811	N
hsa-mir-151b	5	5.104744	N
hsa-mir-152	232	236.860133	N
hsa-mir-153-1	1	1.020949	N
hsa-mir-153-2	27	27.565619	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	1.020949	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	7	7.146642	N
hsa-mir-155	588	600.317923	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	224	228.692542	N
hsa-mir-15b	457	466.573624	N
hsa-mir-16-1	1245	1271.081318	N
hsa-mir-16-2	1284	1310.898323	N
hsa-mir-17	1005	1026.053594	Y
hsa-mir-181a-1	580	592.150333	N
hsa-mir-181a-2	2567	2620.775697	N
hsa-mir-181b-1	155	158.247072	N
hsa-mir-181b-2	156	159.268021	N
hsa-mir-181c	60	61.256931	N
hsa-mir-181d	23	23.481824	N
hsa-mir-182	43868	44786.984127	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	17910	18285.193894	N
hsa-mir-184	1	1.020949	N
hsa-mir-185	109	111.283425	N
hsa-mir-186	855	872.911266	N
hsa-mir-187	58	59.215033	N
hsa-mir-188	5	5.104744	N
hsa-mir-18a	76	77.592113	N
hsa-mir-18b	10	10.209488	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	1.020949	N
hsa-mir-190a	5	5.104744	N
hsa-mir-190b	1	1.020949	N
hsa-mir-191	1078	1100.582860	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2851	2910.725170	Y
hsa-mir-193a	193	197.043128	N
hsa-mir-193b	53	54.110289	N
hsa-mir-194-1	95	96.990141	N
hsa-mir-194-2	107	109.241527	N
hsa-mir-195	83	84.738755	N
hsa-mir-196a-1	209	213.378310	N
hsa-mir-196a-2	263	268.509547	N
hsa-mir-196b	2512	2564.623510	N
hsa-mir-197	673	687.098576	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	4	4.083795	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2558	2611.587157	Y
hsa-mir-199a-2	4663	4760.684485	Y
hsa-mir-199b	6716	6856.692473	Y
hsa-mir-19a	106	108.220578	N
hsa-mir-19b-1	177	180.707946	N
hsa-mir-19b-2	186	189.896486	N
hsa-mir-200a	1485	1516.109041	N
hsa-mir-200b	1282	1308.856425	N
hsa-mir-200c	10052	10262.577835	N
hsa-mir-202	2	2.041898	N
hsa-mir-203a	1341	1369.092407	N
hsa-mir-203b	142	144.974737	N
hsa-mir-204	21	21.439926	N
hsa-mir-205	122	124.555760	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	1.020949	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	203	207.252616	N
hsa-mir-20b	380	387.960563	N
hsa-mir-21	150753	153911.101900	N
hsa-mir-210	1888	1927.551428	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	8	8.167591	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	3	3.062847	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	3	3.062847	N
hsa-mir-214	46	46.963647	N
hsa-mir-215	20	20.418977	Y
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	1	1.020949	N
hsa-mir-218-1	27	27.565619	N
hsa-mir-218-2	16	16.335182	N
hsa-mir-219a-1	0	0.000000	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	1	1.020949	N
hsa-mir-22	46984	47968.260742	N
hsa-mir-221	194	198.064077	N
hsa-mir-222	167	170.498458	N
hsa-mir-223	120	122.513862	N
hsa-mir-224	327	333.850274	N
hsa-mir-2276	1	1.020949	N
hsa-mir-2277	9	9.188540	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	33	33.691312	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	8796	8980.266080	Y
hsa-mir-23b	1852	1890.797269	Y
hsa-mir-23c	1	1.020949	N
hsa-mir-24-1	1632	1666.188522	N
hsa-mir-24-2	1765	1801.974719	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	10762	10987.451518	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	910	929.063453	N
hsa-mir-26a-2	928	947.440532	N
hsa-mir-26b	2214	2260.380753	N
hsa-mir-27a	3948	4030.706058	Y
hsa-mir-27b	2217	2263.443599	Y
hsa-mir-28	4869	4970.999948	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	7	7.146642	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	6	6.125693	N
hsa-mir-29a	6500	6636.167521	N
hsa-mir-29b-1	376	383.876767	N
hsa-mir-29b-2	418	426.756619	N
hsa-mir-29c	373	380.813921	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	49	50.026494	N
hsa-mir-301b	4	4.083795	N
hsa-mir-302a	1	1.020949	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	1.020949	N
hsa-mir-3065	58	59.215033	N
hsa-mir-3074	27	27.565619	N
hsa-mir-30a	126197	128840.681953	Y
hsa-mir-30b	2066	2109.280323	Y
hsa-mir-30c-1	4475	4568.746101	Y
hsa-mir-30c-2	2287	2334.910019	N
hsa-mir-30d	6221	6351.322792	N
hsa-mir-30e	21394	21842.179685	Y
hsa-mir-31	2	2.041898	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	10	10.209488	N
hsa-mir-3128	1	1.020949	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	5	5.104744	N
hsa-mir-3130-2	3	3.062847	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	5	5.104744	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	1	1.020949	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	1	1.020949	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
