miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	18095	5294.596995	N
hsa-let-7a-2	18509	5415.733395	N
hsa-let-7a-3	18518	5418.366795	N
hsa-let-7b	40522	11856.737188	N
hsa-let-7c	4800	1404.479999	N
hsa-let-7d	3989	1167.181399	N
hsa-let-7e	3495	1022.636999	N
hsa-let-7f-1	8006	2342.555598	N
hsa-let-7f-2	8187	2395.516198	N
hsa-let-7g	2118	619.726799	N
hsa-let-7i	2540	743.203999	N
hsa-mir-100	6412	1876.151198	N
hsa-mir-101-1	6997	2047.322198	N
hsa-mir-101-2	6912	2022.451198	N
hsa-mir-103a-1	29005	8486.862992	Y
hsa-mir-103a-2	29184	8539.238391	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	78	22.822800	Y
hsa-mir-106b	1463	428.073800	N
hsa-mir-107	238	69.638800	Y
hsa-mir-10a	54146	15843.119584	N
hsa-mir-10b	161823	47349.409753	N
hsa-mir-1-1	5	1.463000	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	35	10.241000	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.585200	N
hsa-mir-1185-2	2	0.585200	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	5	1.463000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.292600	N
hsa-mir-1224	1	0.292600	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	1.170400	N
hsa-mir-1227	1	0.292600	N
hsa-mir-1228	11	3.218600	N
hsa-mir-1229	8	2.340800	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.585200	N
hsa-mir-1238	1	0.292600	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	22	6.437200	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	31	9.070600	N
hsa-mir-1248	6	1.755600	N
hsa-mir-1249	12	3.511200	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.585200	N
hsa-mir-1255a	6	1.755600	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.585200	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	5913	1730.143798	N
hsa-mir-125b-1	1680	491.568000	N
hsa-mir-125b-2	1677	490.690200	N
hsa-mir-126	23698	6934.034793	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	2.633400	N
hsa-mir-1263	0	0.000000	N
