miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	198269	13379.735365	N
hsa-let-7a-2	395152	26665.939653	Y
hsa-let-7a-3	200653	13540.614217	N
hsa-let-7b	559412	37750.654515	N
hsa-let-7c	31214	2106.406244	Y
hsa-let-7d	6883	464.483699	N
hsa-let-7e	19069	1286.828368	N
hsa-let-7f-1	53151	3586.775111	N
hsa-let-7f-2	54566	3682.263188	N
hsa-let-7g	5509	371.762414	N
hsa-let-7i	6090	410.969886	N
hsa-mir-100	65566	4424.573327	Y
hsa-mir-101-1	72281	4877.719926	N
hsa-mir-101-2	72200	4872.253824	N
hsa-mir-103a-1	478550	32293.865198	Y
hsa-mir-103a-2	479331	32346.569218	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	888	59.924673	N
hsa-mir-105-2	834	56.280605	N
hsa-mir-106a	7532	508.279997	Y
hsa-mir-106b	18680	1260.577582	N
hsa-mir-107	3729	251.643137	Y
hsa-mir-10a	1538250	103805.324712	N
hsa-mir-10b	251686	16984.460884	N
hsa-mir-1-1	12	0.809793	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.202448	N
hsa-mir-1180	2265	152.848406	N
hsa-mir-1181	2	0.134965	N
hsa-mir-1182	1	0.067483	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.134965	N
hsa-mir-1185-2	2	0.134965	N
hsa-mir-1193	1	0.067483	N
hsa-mir-1197	4	0.269931	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	10	0.674827	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.067483	N
hsa-mir-1224	20	1.349655	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	37	2.496861	N
hsa-mir-1227	4	0.269931	N
hsa-mir-1228	7	0.472379	N
hsa-mir-1229	11	0.742310	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.067483	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.134965	N
hsa-mir-1238	4	0.269931	N
hsa-mir-124-1	7	0.472379	N
hsa-mir-124-2	3	0.202448	N
hsa-mir-1243	5	0.337414	N
hsa-mir-124-3	6	0.404896	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	0.674827	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	798	53.851226	N
hsa-mir-1248	23	1.552103	N
hsa-mir-1249	11	0.742310	N
hsa-mir-1250	10	0.674827	N
hsa-mir-1251	2	0.134965	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	18	1.214689	N
hsa-mir-1254-2	23	1.552103	N
hsa-mir-1255a	5	0.337414	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.067483	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.134965	N
hsa-mir-125a	8835	596.210007	N
hsa-mir-125b-1	2190	147.787200	N
hsa-mir-125b-2	2246	151.566234	N
hsa-mir-126	21169	1428.542122	N
hsa-mir-1260a	1	0.067483	N
hsa-mir-1260b	6	0.404896	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	1.079724	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	165	11.134652	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	24250	1636.456444	N
hsa-mir-1269b	9	0.607345	N
hsa-mir-127	5338	360.222866	N
hsa-mir-1270	4	0.269931	N
hsa-mir-1271	24	1.619586	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.067483	N
hsa-mir-1276	9	0.607345	N
hsa-mir-1277	16	1.079724	N
hsa-mir-1278	1	0.067483	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	3154	212.840562	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	2358	159.124301	N
hsa-mir-1283-1	2	0.134965	N
hsa-mir-1283-2	1	0.067483	N
hsa-mir-1284	17	1.147207	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.067483	N
hsa-mir-1287	2549	172.013504	N
hsa-mir-1288	17	1.147207	N
hsa-mir-1289-1	2	0.134965	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.202448	N
hsa-mir-129-1	10	0.674827	N
hsa-mir-1292	18	1.214689	N
hsa-mir-129-2	13	0.877276	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	5	0.337414	N
hsa-mir-1295a	7	0.472379	N
hsa-mir-1295b	2	0.134965	N
hsa-mir-1296	67	4.521344	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.067483	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	445	30.029819	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.067483	N
hsa-mir-1304	1	0.067483	N
hsa-mir-1305	1	0.067483	N
hsa-mir-1306	236	15.925927	N
hsa-mir-1307	43434	2931.045327	N
hsa-mir-130a	219	14.778720	N
hsa-mir-130b	938	63.298810	N
hsa-mir-132	2657	179.301640	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.067483	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	6	0.404896	N
hsa-mir-133a-2	3	0.202448	N
hsa-mir-133b	1	0.067483	N
hsa-mir-134	3361	226.809489	N
hsa-mir-1343	21	1.417138	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	1	0.067483	N
hsa-mir-135b	242	16.330823	N
hsa-mir-136	297	20.042374	N
hsa-mir-137	2	0.134965	N
hsa-mir-138-1	4	0.269931	N
hsa-mir-138-2	9	0.607345	N
hsa-mir-139	406	27.397992	N
hsa-mir-140	18329	1236.891140	N
hsa-mir-141	32236	2175.373605	N
hsa-mir-142	44863	3027.478162	N
hsa-mir-143	267453	18048.461245	N
hsa-mir-144	11843	799.198089	N
hsa-mir-145	5322	359.143142	N
hsa-mir-1468	110	7.423101	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1131	76.322979	N
hsa-mir-146b	7577	511.316721	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	0.404896	N
hsa-mir-148a	1116163	75321.737459	N
hsa-mir-148b	1585	106.960143	N
hsa-mir-149	584	39.409920	N
hsa-mir-150	17931	1210.033010	N
hsa-mir-151a	49178	3318.666185	N
hsa-mir-151b	24	1.619586	N
hsa-mir-152	1771	119.511932	N
hsa-mir-153-1	4	0.269931	N
hsa-mir-153-2	142	9.582549	N
hsa-mir-1537	6	0.404896	N
hsa-mir-1538	4	0.269931	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	76	5.128688	N
hsa-mir-155	3963	267.434098	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2793	188.479293	N
hsa-mir-15b	6741	454.901150	N
hsa-mir-16-1	4208	283.967370	N
hsa-mir-16-2	4400	296.924056	N
hsa-mir-17	102152	6893.496850	Y
hsa-mir-181a-1	49716	3354.971899	N
hsa-mir-181a-2	53250	3593.455902	N
hsa-mir-181b-1	13028	879.165136	N
hsa-mir-181b-2	12257	827.135943	N
hsa-mir-181c	3989	269.188650	N
hsa-mir-181d	1210	81.654115	N
hsa-mir-182	246113	16608.379575	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	192006	12957.090965	N
hsa-mir-184	18	1.214689	N
hsa-mir-185	1950	131.591343	N
hsa-mir-186	4249	286.734162	N
hsa-mir-187	390	26.318269	N
hsa-mir-188	85	5.736033	N
hsa-mir-18a	1418	95.690525	Y
hsa-mir-18b	174	11.741997	Y
hsa-mir-1908	2	0.134965	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	98	6.613309	N
hsa-mir-190b	108	7.288136	N
hsa-mir-191	7405	499.709689	N
hsa-mir-1910	5	0.337414	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	5	0.337414	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	9458	638.251754	Y
hsa-mir-193a	10348	698.311393	N
hsa-mir-193b	1623	109.524487	N
hsa-mir-194-1	1000	67.482740	N
hsa-mir-194-2	1125	75.918082	N
hsa-mir-195	352	23.753924	N
hsa-mir-196a-1	8331	562.198706	N
hsa-mir-196a-2	8762	591.283767	N
hsa-mir-196b	36739	2479.248383	N
hsa-mir-197	7984	538.782196	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	240	16.195858	N
