miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	45748	14864.723478	N
hsa-let-7a-2	45804	14882.919345	N
hsa-let-7a-3	46112	14982.996612	N
hsa-let-7b	129849	42191.341237	N
hsa-let-7c	850	276.187264	N
hsa-let-7d	2763	897.771071	N
hsa-let-7e	4314	1401.731597	N
hsa-let-7f-1	6275	2038.911861	N
hsa-let-7f-2	6202	2015.192249	N
hsa-let-7g	3336	1083.953780	N
hsa-let-7i	2088	678.445891	N
hsa-mir-100	41346	13434.398376	Y
hsa-mir-101-1	33152	10771.953151	N
hsa-mir-101-2	33007	10724.838853	N
hsa-mir-103a-1	30966	10061.664493	Y
hsa-mir-103a-2	31046	10087.658588	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	65	21.120203	N
hsa-mir-105-2	54	17.546014	N
hsa-mir-106a	446	144.917082	Y
hsa-mir-106b	5919	1923.238136	N
hsa-mir-107	349	113.399241	Y
hsa-mir-10a	18853	6125.833517	N
hsa-mir-10b	54938	17850.795192	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	61	19.820498	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.324926	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	0.974779	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.324926	N
hsa-mir-1226	13	4.224041	N
hsa-mir-1227	1	0.324926	N
hsa-mir-1228	1	0.324926	N
hsa-mir-1229	5	1.624631	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.649852	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.324926	N
hsa-mir-1238	0	0.000000	N
