miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	97909	9615.282632	N
hsa-let-7a-2	195255	19175.275105	Y
hsa-let-7a-3	97757	9600.355271	N
hsa-let-7b	143902	14132.085930	N
hsa-let-7c	44354	4355.843139	Y
hsa-let-7d	1336	131.203644	N
hsa-let-7e	6431	631.564847	N
hsa-let-7f-1	36971	3630.785874	N
hsa-let-7f-2	37151	3648.463012	N
hsa-let-7g	2907	285.485774	N
hsa-let-7i	2455	241.096517	N
hsa-mir-100	40171	3945.046100	N
hsa-mir-101-1	94182	9249.267675	N
hsa-mir-101-2	95431	9371.927370	N
hsa-mir-103a-1	236759	23251.230231	Y
hsa-mir-103a-2	236900	23265.077322	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.098206	N
hsa-mir-105-2	4	0.392825	N
hsa-mir-106a	459	45.076701	Y
hsa-mir-106b	3772	370.434241	N
hsa-mir-107	780	76.600930	Y
hsa-mir-10a	159288	15643.088377	N
hsa-mir-10b	639209	62774.363908	N
hsa-mir-1-1	40	3.928253	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	35	3.437221	N
hsa-mir-1181	6	0.589238	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.294619	N
hsa-mir-1185-2	1	0.098206	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	33	3.240809	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.196413	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.392825	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	1.767714	N
hsa-mir-1245b	1	0.098206	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	158	15.516599	N
hsa-mir-1248	7	0.687444	N
hsa-mir-1249	5	0.491032	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.196413	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	12	1.178476	N
hsa-mir-125a	4487	440.651760	N
hsa-mir-125b-1	2132	209.375875	N
hsa-mir-125b-2	2411	236.775439	N
hsa-mir-126	6972	684.694466	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.098206	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.491032	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	76	7.463680	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.098206	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5330	523.439688	N
hsa-mir-1270	4	0.392825	N
hsa-mir-1271	6	0.589238	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.098206	N
hsa-mir-1276	2	0.196413	N
hsa-mir-1277	1	0.098206	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	233	22.882073	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	160	15.713011	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	278	27.301357	N
hsa-mir-1288	4	0.392825	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.294619	N
hsa-mir-129-1	3	0.294619	N
hsa-mir-1292	4	0.392825	N
hsa-mir-129-2	8	0.785651	N
hsa-mir-1293	1	0.098206	N
hsa-mir-1294	2	0.196413	N
hsa-mir-1295a	11	1.080270	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	18	1.767714	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.098206	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	34	3.339015	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.098206	N
hsa-mir-1304	1	0.098206	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	9	0.883857	N
hsa-mir-1307	3263	320.447224	N
hsa-mir-130a	293	28.774452	N
hsa-mir-130b	79	7.758299	N
hsa-mir-132	953	93.590623	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	0.785651	N
hsa-mir-133a-2	18	1.767714	Y
