miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	4923	4290.970136	N
hsa-let-7a-2	4964	4326.706430	N
hsa-let-7a-3	5041	4393.820933	N
hsa-let-7b	17074	14881.987426	N
hsa-let-7c	1958	1706.625945	N
hsa-let-7d	606	528.199858	N
hsa-let-7e	1770	1542.761962	N
hsa-let-7f-1	1457	1269.945864	N
hsa-let-7f-2	1423	1240.310888	N
hsa-let-7g	522	454.984036	N
hsa-let-7i	388	338.187368	N
hsa-mir-100	2654	2313.271327	N
hsa-mir-101-1	6505	5669.868116	N
hsa-mir-101-2	6590	5743.955555	N
hsa-mir-103a-1	34381	29967.061596	Y
hsa-mir-103a-2	34065	29691.630647	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	28	24.405274	N
hsa-mir-105-2	49	42.709229	N
hsa-mir-106a	66	57.526717	Y
hsa-mir-106b	590	514.253987	N
hsa-mir-107	160	139.458708	Y
hsa-mir-10a	13534	11796.463501	N
hsa-mir-10b	54960	47904.066354	N
hsa-mir-1-1	1	0.871617	N
hsa-mir-1178	1	0.871617	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	13	11.331020	N
hsa-mir-1181	1	0.871617	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	3.486468	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	11.331020	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	4	3.486468	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	2.614851	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	33	28.763359	N
hsa-mir-1248	11	9.587786	N
hsa-mir-1249	2	1.743234	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	15	13.074254	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	6	5.229702	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	2.614851	N
hsa-mir-125a	1461	1273.432332	N
hsa-mir-125b-1	208	181.296321	N
hsa-mir-125b-2	223	194.370575	N
hsa-mir-126	3832	3340.036068	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.871617	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.871617	N
hsa-mir-1266	54	47.067314	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	6.101318	N
hsa-mir-1269b	2	1.743234	N
hsa-mir-127	906	789.684937	N
hsa-mir-1270	1	0.871617	N
hsa-mir-1271	3	2.614851	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	3.486468	N
hsa-mir-1276	2	1.743234	N
hsa-mir-1277	1	0.871617	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	82	71.472588	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	65	56.655100	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	35	30.506592	N
hsa-mir-1288	2	1.743234	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	2	1.743234	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	1	0.871617	N
hsa-mir-1296	7	6.101318	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
