miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38839	6089.854956	N
hsa-let-7a-2	38245	5996.717289	N
hsa-let-7a-3	38855	6092.363715	N
hsa-let-7b	51828	8126.496631	N
hsa-let-7c	7765	1217.531958	N
hsa-let-7d	4411	691.633415	N
hsa-let-7e	5387	844.667696	N
hsa-let-7f-1	21692	3401.249613	N
hsa-let-7f-2	22653	3551.931932	N
hsa-let-7g	2841	445.461467	N
hsa-let-7i	3456	541.891880	N
hsa-mir-100	25178	3947.845415	Y
hsa-mir-101-1	29584	4638.694843	N
hsa-mir-101-2	30009	4705.333746	N
hsa-mir-103a-1	217159	34049.970710	Y
hsa-mir-103a-2	217005	34025.823908	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.783987	N
hsa-mir-105-2	6	0.940785	N
hsa-mir-106a	231	36.220204	Y
hsa-mir-106b	4077	639.263077	N
hsa-mir-107	912	142.999246	Y
hsa-mir-10a	92463	14497.959752	N
hsa-mir-10b	305274	47866.175284	N
hsa-mir-1-1	3	0.470392	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.313595	N
hsa-mir-1180	73	11.446212	N
hsa-mir-1181	2	0.313595	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.313595	N
hsa-mir-1185-2	1	0.156797	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.156797	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	0.470392	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.156797	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	1.724772	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.940785	N
hsa-mir-1229	5	0.783987	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.156797	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
