miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	152664	10188.404463	N
hsa-let-7a-2	304921	20349.646789	Y
hsa-let-7a-3	154240	10293.582668	N
hsa-let-7b	416788	27815.363933	N
hsa-let-7c	70177	4683.433292	Y
hsa-let-7d	8017	535.034052	N
hsa-let-7e	24522	1636.535491	N
hsa-let-7f-1	62819	4192.379212	N
hsa-let-7f-2	61549	4107.622664	N
hsa-let-7g	8123	542.108221	N
hsa-let-7i	9040	603.306453	N
hsa-mir-100	173771	11597.031599	Y
hsa-mir-101-1	114134	7617.010920	N
hsa-mir-101-2	114679	7653.382824	N
hsa-mir-103a-1	218028	14550.630459	Y
hsa-mir-103a-2	219022	14616.967473	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.066737	N
hsa-mir-106a	224	14.949186	Y
hsa-mir-106b	11715	781.829104	N
hsa-mir-107	2948	196.741972	Y
hsa-mir-10a	270377	18044.268679	N
hsa-mir-10b	1176660	78527.275558	N
hsa-mir-1-1	27	1.801911	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.266950	N
hsa-mir-1180	160	10.677990	N
hsa-mir-1181	10	0.667374	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.133475	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	43	2.869710	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.066737	N
hsa-mir-1224	56	3.737297	N
hsa-mir-1225	4	0.266950	N
hsa-mir-1226	54	3.603822	N
hsa-mir-1227	5	0.333687	N
hsa-mir-1228	13	0.867587	N
hsa-mir-1229	59	3.937509	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.133475	N
hsa-mir-1236	1	0.066737	N
hsa-mir-1237	3	0.200212	N
hsa-mir-1238	1	0.066737	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.066737	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	15	1.001062	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	357	23.825266	N
hsa-mir-1248	42	2.802972	N
hsa-mir-1249	16	1.067799	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.200212	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.266950	N
hsa-mir-1254-2	3	0.200212	N
hsa-mir-1255a	13	0.867587	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.066737	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	37	2.469285	N
hsa-mir-125a	17860	1191.930669	N
hsa-mir-125b-1	5790	386.409775	N
hsa-mir-125b-2	5942	396.553865	N
hsa-mir-126	74175	4950.249575	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.066737	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.467162	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	301	20.087969	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	21	1.401486	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	9959	664.638160	N
hsa-mir-1270	7	0.467162	N
hsa-mir-1271	43	2.869710	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	10	0.667374	N
hsa-mir-1276	2	0.133475	N
hsa-mir-1277	14	0.934324	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	1228	81.953576	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	1028	68.606088	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	0.400425	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	1008	67.271339	N
hsa-mir-1288	18	1.201274	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	9	0.600637	N
hsa-mir-129-1	17	1.134536	N
hsa-mir-1292	14	0.934324	N
hsa-mir-129-2	24	1.601699	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.133475	N
hsa-mir-1295a	18	1.201274	N
hsa-mir-1295b	1	0.066737	N
hsa-mir-1296	57	3.804034	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	487	32.501133	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	17	1.134536	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	130	8.675867	N
hsa-mir-1307	26677	1780.354673	N
hsa-mir-130a	1203	80.285140	N
hsa-mir-130b	122	8.141968	N
hsa-mir-132	1614	107.714227	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	31	2.068861	Y
hsa-mir-133a-2	12	0.800849	N
hsa-mir-133b	2	0.133475	Y
hsa-mir-134	3088	206.085213	N
hsa-mir-1343	11	0.734112	N
hsa-mir-135a-1	4	0.266950	N
hsa-mir-135a-2	2	0.133475	N
hsa-mir-135b	45	3.003185	N
hsa-mir-136	275	18.352796	N
hsa-mir-137	3	0.200212	N
hsa-mir-138-1	4	0.266950	N
hsa-mir-138-2	1	0.066737	N
hsa-mir-139	1476	98.504461	N
hsa-mir-140	10487	699.875528	N
hsa-mir-141	30753	2052.376477	N
hsa-mir-142	26607	1775.683053	N
hsa-mir-143	937057	62536.784842	N
hsa-mir-144	1583	105.645367	N
hsa-mir-145	23566	1572.734499	N
hsa-mir-1468	40	2.669498	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1667	111.251312	N
hsa-mir-146b	8035	536.235326	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	30	2.002123	N
hsa-mir-148a	239184	15962.527729	N
hsa-mir-148b	3598	240.121307	N
hsa-mir-149	7322	488.651532	N
hsa-mir-150	25326	1690.192393	N
hsa-mir-151a	77465	5169.815751	N
hsa-mir-151b	39	2.602760	N
hsa-mir-152	2628	175.385991	N
