miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	19522	7155.972114	N
hsa-let-7a-2	19246	7054.801726	N
hsa-let-7a-3	19599	7184.197185	N
hsa-let-7b	95282	34926.510344	N
hsa-let-7c	3902	1430.314680	N
hsa-let-7d	3285	1204.147546	N
hsa-let-7e	7437	2726.102070	N
hsa-let-7f-1	4247	1556.777665	N
hsa-let-7f-2	4282	1569.607243	N
hsa-let-7g	1225	449.035234	N
hsa-let-7i	1926	705.993356	N
hsa-mir-100	10561	3871.233557	N
hsa-mir-101-1	2822	1034.430556	N
hsa-mir-101-2	2917	1069.253696	N
hsa-mir-103a-1	52215	19139.897752	Y
hsa-mir-103a-2	51848	19005.370461	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	52	19.061087	N
hsa-mir-105-2	43	15.762053	N
hsa-mir-106a	50	18.327969	Y
hsa-mir-106b	6782	2486.005679	N
hsa-mir-107	488	178.880975	Y
hsa-mir-10a	18851	6910.010773	N
hsa-mir-10b	54152	19849.923261	N
hsa-mir-1-1	4	1.466237	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.366559	N
hsa-mir-1180	175	64.147891	N
hsa-mir-1181	4	1.466237	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	6	2.199356	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.366559	N
hsa-mir-1225	1	0.366559	N
hsa-mir-1226	26	9.530544	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	2.932475	N
hsa-mir-1229	7	2.565916	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
