miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	4678	1555.825466	N
hsa-let-7a-2	4717	1568.796221	N
hsa-let-7a-3	4862	1617.020824	N
hsa-let-7b	11054	3676.377661	N
hsa-let-7c	1957	650.865848	N
hsa-let-7d	530	176.269238	N
hsa-let-7e	1424	473.598859	N
hsa-let-7f-1	1280	425.706840	N
hsa-let-7f-2	1325	440.673096	N
hsa-let-7g	671	223.163507	N
hsa-let-7i	420	139.685057	N
hsa-mir-100	1563	519.827961	N
hsa-mir-101-1	9471	3149.898030	N
hsa-mir-101-2	9488	3155.551949	N
hsa-mir-103a-1	65143	21665.484887	Y
hsa-mir-103a-2	65050	21634.554624	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.332583	N
hsa-mir-106a	216	71.838029	Y
hsa-mir-106b	746	248.107267	N
hsa-mir-107	383	127.379468	Y
hsa-mir-10a	18633	6197.027768	N
hsa-mir-10b	77466	25763.910969	N
hsa-mir-1-1	4	1.330334	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	29	9.644921	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	2	0.665167	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.332583	N
hsa-mir-1224	5	1.662917	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.997750	N
hsa-mir-1227	1	0.332583	N
hsa-mir-1228	3	0.997750	N
hsa-mir-1229	4	1.330334	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	1.995501	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	74	24.611177	N
hsa-mir-1248	7	2.328084	N
hsa-mir-1249	2	0.665167	N
hsa-mir-1250	0	0.000000	N
