miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	26230	6349.957974	N
hsa-let-7a-2	26119	6323.086249	N
hsa-let-7a-3	26449	6402.975160	N
hsa-let-7b	59457	14393.802945	N
hsa-let-7c	5369	1299.768371	N
hsa-let-7d	2750	665.740924	N
hsa-let-7e	5279	1277.980486	N
hsa-let-7f-1	8797	2129.644693	N
hsa-let-7f-2	8726	2112.456473	N
hsa-let-7g	2106	509.836504	N
hsa-let-7i	2728	660.414996	N
hsa-mir-100	13037	3156.096153	N
hsa-mir-101-1	9351	2263.761228	N
hsa-mir-101-2	9452	2288.212076	N
hsa-mir-103a-1	33867	8198.781040	Y
hsa-mir-103a-2	34108	8257.124154	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.242088	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	60	14.525257	Y
hsa-mir-106b	1904	460.934807	N
hsa-mir-107	218	52.775099	Y
hsa-mir-10a	110405	26727.682428	N
hsa-mir-10b	364017	88124.005020	N
hsa-mir-1-1	4	0.968350	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	27	6.536365	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.242088	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	0.726263	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	12	2.905051	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.484175	N
hsa-mir-1227	1	0.242088	N
hsa-mir-1228	4	0.968350	N
hsa-mir-1229	4	0.968350	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	3.147139	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	16	3.873402	N
hsa-mir-1248	5	1.210438	N
hsa-mir-1249	21	5.083840	N
hsa-mir-1250	1	0.242088	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.242088	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.484175	N
hsa-mir-1254-2	2	0.484175	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	33	7.988891	N
hsa-mir-125a	6283	1521.036445	N
hsa-mir-125b-1	2290	554.380624	N
hsa-mir-125b-2	2369	573.505545	N
hsa-mir-126	14663	3549.730605	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.968350	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	67	16.219870	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	858	207.711168	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	4950	1198.333663	N
hsa-mir-1270	4	0.968350	N
hsa-mir-1271	23	5.568015	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.242088	N
hsa-mir-1275	1	0.242088	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	1.210438	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	224	54.227624	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	131	31.713477	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.242088	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	119	28.808425	N
hsa-mir-1288	2	0.484175	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.242088	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.484175	N
hsa-mir-129-1	3	0.726263	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	1	0.242088	N
hsa-mir-1293	1	0.242088	N
hsa-mir-1294	2	0.484175	N
hsa-mir-1295a	1	0.242088	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	20	4.841752	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	93	22.514148	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	1	0.242088	N
hsa-mir-1306	38	9.199329	N
hsa-mir-1307	7246	1754.166812	N
hsa-mir-130a	273	66.089917	N
hsa-mir-130b	116	28.082163	N
hsa-mir-132	232	56.164325	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	1.936701	Y
hsa-mir-133a-2	10	2.420876	Y
hsa-mir-133b	4	0.968350	Y
hsa-mir-134	3355	812.203927	N
hsa-mir-1343	1	0.242088	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	4	0.968350	N
hsa-mir-136	276	66.816180	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	51	12.346468	N
hsa-mir-140	1406	340.375178	N
hsa-mir-141	6773	1639.659373	N
hsa-mir-142	7289	1764.576579	N
hsa-mir-143	126437	30608.830969	N
hsa-mir-144	108	26.145462	N
hsa-mir-145	9584	2320.167641	N
hsa-mir-1468	13	3.147139	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	256	61.974428	N
hsa-mir-146b	1453	351.753295	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	298591	72285.181140	N
hsa-mir-148b	632	152.999369	N
hsa-mir-149	1288	311.808840	N
hsa-mir-150	1036	250.802763	N
hsa-mir-151a	4616	1117.476401	N
hsa-mir-151b	8	1.936701	N
hsa-mir-152	1581	382.740509	N
hsa-mir-153-1	4	0.968350	N
hsa-mir-153-2	97	23.482498	N
