miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12755	4268.773063	N
hsa-let-7a-2	12837	4296.216371	N
hsa-let-7a-3	12988	4346.752218	N
hsa-let-7b	21145	7076.691997	N
hsa-let-7c	9397	3144.936141	N
hsa-let-7d	3966	1327.319010	N
hsa-let-7e	2934	981.934941	N
hsa-let-7f-1	7769	2600.086078	N
hsa-let-7f-2	8165	2732.617175	N
hsa-let-7g	2902	971.225357	N
hsa-let-7i	2419	809.577581	N
hsa-mir-100	18411	6161.691954	Y
hsa-mir-101-1	8758	2931.079144	N
hsa-mir-101-2	8834	2956.514405	N
hsa-mir-103a-1	28567	9560.646029	Y
hsa-mir-103a-2	28625	9580.057149	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	703	235.276163	N
hsa-mir-105-2	651	217.873090	N
hsa-mir-106a	108	36.144844	Y
hsa-mir-106b	8296	2776.459532	N
hsa-mir-107	436	145.918076	Y
hsa-mir-10a	29876	9998.734930	N
hsa-mir-10b	144800	48460.865508	N
hsa-mir-1-1	12	4.016094	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	273	91.366135	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	11	3.681419	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	1.004023	N
hsa-mir-1225	1	0.334674	N
hsa-mir-1226	4	1.338698	N
hsa-mir-1227	1	0.334674	N
hsa-mir-1228	11	3.681419	N
hsa-mir-1229	6	2.008047	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	1.004023	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	30	10.040235	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.334674	N
hsa-mir-1247	164	54.886616	N
hsa-mir-1248	64	21.419167	N
hsa-mir-1249	12	4.016094	N
hsa-mir-1250	1	0.334674	N
hsa-mir-1251	1	0.334674	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.334674	N
hsa-mir-1254-2	5	1.673372	N
hsa-mir-1255a	10	3.346745	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	1.338698	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2809	940.100630	N
hsa-mir-125b-1	1439	481.596585	N
hsa-mir-125b-2	1570	525.438942	N
hsa-mir-126	25532	8544.908965	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.334674	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.334674	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	82	27.443308	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4986	1668.686985	N
hsa-mir-1269b	1	0.334674	N
hsa-mir-127	3104	1038.829603	N
hsa-mir-1270	61	20.415144	N
hsa-mir-1271	19	6.358815	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.334674	N
hsa-mir-1276	2	0.669349	N
hsa-mir-1277	13	4.350768	N
hsa-mir-1278	1	0.334674	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	430	143.910029	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	247	82.664598	N
hsa-mir-1283-1	7	2.342721	N
hsa-mir-1283-2	15	5.020117	Y
hsa-mir-1284	4	1.338698	N
hsa-mir-1285-1	1	0.334674	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.669349	N
hsa-mir-1287	141	47.189102	N
hsa-mir-1288	5	1.673372	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	1	0.334674	N
hsa-mir-1291	15	5.020117	N
hsa-mir-129-1	14	4.685443	N
hsa-mir-1292	4	1.338698	N
hsa-mir-129-2	12	4.016094	N
hsa-mir-1293	1	0.334674	N
hsa-mir-1294	1	0.334674	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	5	1.673372	N
hsa-mir-1296	54	18.072422	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	227	75.971108	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	10	3.346745	N
hsa-mir-1305	1	0.334674	N
hsa-mir-1306	195	65.261525	N
hsa-mir-1307	10543	3528.473101	N
hsa-mir-130a	1275	426.709969	N
hsa-mir-130b	245	81.995249	N
hsa-mir-132	491	164.325172	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	12	4.016094	Y
hsa-mir-133a-2	18	6.024141	Y
hsa-mir-133b	10	3.346745	Y
hsa-mir-134	2034	680.727904	N
hsa-mir-1343	27	9.036211	N
hsa-mir-135a-1	1	0.334674	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	27	9.036211	N
hsa-mir-136	163	54.551941	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	2	0.669349	N
hsa-mir-138-2	3	1.004023	N
hsa-mir-139	148	49.531824	N
hsa-mir-140	1110	371.488679	N
hsa-mir-141	3563	1192.445192	N
hsa-mir-142	13831	4628.882810	N
hsa-mir-143	260454	87167.308461	N
hsa-mir-144	161	53.882592	N
hsa-mir-145	12228	4092.399609	N
hsa-mir-1468	187	62.584129	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	681	227.913325	N
hsa-mir-146b	3689	1234.614177	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	9	3.012070	N
hsa-mir-148a	342026	114467.375596	N
hsa-mir-148b	1141	381.863588	N
hsa-mir-149	704	235.610838	N
hsa-mir-150	4156	1390.907162	N
hsa-mir-151a	12202	4083.698073	N
hsa-mir-151b	9	3.012070	N
hsa-mir-152	907	303.549758	N
hsa-mir-153-1	6	2.008047	N
hsa-mir-153-2	65	21.753842	N
hsa-mir-1537	5	1.673372	N
hsa-mir-1538	3	1.004023	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	23	7.697513	N
hsa-mir-155	1360	455.157300	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	256	85.676668	N
hsa-mir-15b	2568	859.444079	N
hsa-mir-16-1	2933	981.600266	N
hsa-mir-16-2	2996	1002.684759	N
hsa-mir-17	6432	2152.626291	Y
hsa-mir-181a-1	1967	658.304713	N
hsa-mir-181a-2	6152	2058.917435	N
hsa-mir-181b-1	514	172.022686	N
hsa-mir-181b-2	309	103.414416	N
hsa-mir-181c	490	163.990498	N
hsa-mir-181d	55	18.407097	N
hsa-mir-182	120712	40399.226500	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	87970	29441.314494	N
hsa-mir-184	5	1.673372	N
hsa-mir-185	190	63.588152	N
hsa-mir-186	2941	984.277662	N
hsa-mir-187	73	24.431237	N
hsa-mir-188	118	39.491589	N
hsa-mir-18a	275	92.035484	Y
hsa-mir-18b	10	3.346745	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.334674	N
hsa-mir-190a	31	10.374909	N
hsa-mir-190b	10	3.346745	N
hsa-mir-191	10752	3598.420069	N
hsa-mir-1910	1	0.334674	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	4	1.338698	N
hsa-mir-1915	4	1.338698	N
hsa-mir-192	16968	5678.756671	Y
hsa-mir-193a	1559	521.757523	N
hsa-mir-193b	1145	383.202286	N
hsa-mir-194-1	444	148.595472	N
hsa-mir-194-2	528	176.708128	N
hsa-mir-195	263	88.019390	N
hsa-mir-196a-1	774	259.038052	N
hsa-mir-196a-2	891	298.194967	N
hsa-mir-196b	1068	357.432351	N
hsa-mir-197	3967	1327.653684	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	45	15.060352	N
hsa-mir-198	1	0.334674	N
hsa-mir-199a-1	23842	7979.309085	Y
hsa-mir-199a-2	45128	15103.190184	Y
hsa-mir-199b	64898	21719.704764	Y
hsa-mir-19a	138	46.185079	N
hsa-mir-19b-1	364	121.821513	N
hsa-mir-19b-2	295	98.728973	N
hsa-mir-200a	6624	2216.883792	N
hsa-mir-200b	5550	1857.443395	N
hsa-mir-200c	20046	6708.884737	N
hsa-mir-202	1	0.334674	N
hsa-mir-203a	17706	5925.746441	N
hsa-mir-203b	743	248.663143	N
hsa-mir-204	0	0.000000	N
hsa-mir-205	684	228.917348	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.334674	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	781	261.380773	N
hsa-mir-20b	120	40.160938	N
hsa-mir-21	337738	113032.291402	N
hsa-mir-210	2548	852.750589	N
hsa-mir-211	1	0.334674	N
hsa-mir-2110	10	3.346745	N
hsa-mir-2113	5	1.673372	N
hsa-mir-2114	1	0.334674	N
hsa-mir-2115	2	0.669349	N
hsa-mir-2116	16	5.354792	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	49	16.399050	N
hsa-mir-214	488	163.321149	N
hsa-mir-215	244	81.660574	Y
hsa-mir-216a	1	0.334674	N
hsa-mir-216b	1	0.334674	N
hsa-mir-217	17	5.689466	N
hsa-mir-218-1	65	21.753842	N
hsa-mir-218-2	54	18.072422	N
hsa-mir-219a-1	7	2.342721	N
hsa-mir-219a-2	1	0.334674	N
hsa-mir-219b	3	1.004023	N
hsa-mir-22	280562	93896.943016	N
hsa-mir-221	389	130.188375	N
hsa-mir-222	307	102.745067	N
