miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	216938	12336.771841	N
hsa-let-7a-2	433897	24674.737904	Y
hsa-let-7a-3	218876	12446.981503	N
hsa-let-7b	554182	31515.072934	N
hsa-let-7c	254962	14499.110447	Y
hsa-let-7d	5162	293.551228	N
hsa-let-7e	16597	943.833732	N
hsa-let-7f-1	55629	3163.495011	N
hsa-let-7f-2	55479	3154.964851	N
hsa-let-7g	5070	288.319396	N
hsa-let-7i	8761	498.218192	N
hsa-mir-100	290524	16521.440698	Y
hsa-mir-101-1	182355	10370.115097	N
hsa-mir-101-2	183265	10421.864733	N
hsa-mir-103a-1	230349	13099.424982	Y
hsa-mir-103a-2	230120	13086.402272	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.056868	N
hsa-mir-105-2	2	0.113735	N
hsa-mir-106a	74	4.208212	Y
hsa-mir-106b	7829	445.217466	N
hsa-mir-107	2008	114.190404	Y
hsa-mir-10a	518985	29513.499404	N
hsa-mir-10b	2171553	123491.291987	N
hsa-mir-1-1	71	4.037609	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.056868	N
hsa-mir-1180	170	9.667514	N
hsa-mir-1181	4	0.227471	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.170603	N
hsa-mir-1185-2	3	0.170603	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.170603	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	90	5.118096	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.227471	N
hsa-mir-1225	3	0.170603	N
hsa-mir-1226	10	0.568677	N
hsa-mir-1227	1	0.056868	N
hsa-mir-1228	15	0.853016	N
hsa-mir-1229	4	0.227471	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.113735	N
hsa-mir-1236	2	0.113735	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.056868	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.056868	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	67	3.810138	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1273	72.392622	N
hsa-mir-1248	11	0.625545	N
hsa-mir-1249	14	0.796148	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.170603	N
hsa-mir-1252	1	0.056868	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.170603	N
hsa-mir-1254-2	2	0.113735	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	63	3.582667	N
hsa-mir-125a	14853	844.656409	N
hsa-mir-125b-1	14053	799.162225	N
hsa-mir-125b-2	15218	865.413131	N
hsa-mir-126	58695	3337.851475	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	18	1.023619	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	157	8.928234	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	14	0.796148	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	31537	1793.437634	N
hsa-mir-1270	22	1.251090	N
hsa-mir-1271	44	2.502180	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.056868	N
hsa-mir-1276	2	0.113735	N
hsa-mir-1277	10	0.568677	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	813	46.233465	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	593	33.722565	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.056868	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	869	49.418058	N
hsa-mir-1288	7	0.398074	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	8	0.454942	N
hsa-mir-129-1	5	0.284339	N
hsa-mir-1292	5	0.284339	N
hsa-mir-129-2	19	1.080487	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	57	3.241461	N
hsa-mir-1295b	1	0.056868	N
hsa-mir-1296	83	4.720022	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.113735	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	84	4.776889	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
