miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	48156	15984.577054	N
hsa-let-7a-2	96005	31867.250604	Y
hsa-let-7a-3	48215	16004.161115	N
hsa-let-7b	154233	51195.059240	N
hsa-let-7c	60941	20228.343514	Y
hsa-let-7d	1793	595.156297	N
hsa-let-7e	2438	809.253237	N
hsa-let-7f-1	12651	4199.287406	N
hsa-let-7f-2	12707	4217.875667	N
hsa-let-7g	1686	559.639441	N
hsa-let-7i	1817	603.122695	N
hsa-mir-100	85106	28249.510233	Y
hsa-mir-101-1	29051	9642.992524	N
hsa-mir-101-2	28979	9619.093331	N
hsa-mir-103a-1	20455	6789.694402	Y
hsa-mir-103a-2	20559	6824.215459	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.663866	N
hsa-mir-105-2	2	0.663866	N
hsa-mir-106a	82	27.218526	Y
hsa-mir-106b	1079	358.155965	N
hsa-mir-107	196	65.058915	Y
hsa-mir-10a	70181	23295.406641	N
hsa-mir-10b	570803	189468.488582	N
hsa-mir-1-1	6	1.991599	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.331933	N
hsa-mir-1180	37	12.281530	N
hsa-mir-1181	1	0.331933	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.663866	N
hsa-mir-1193	1	0.331933	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	10	3.319332	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.331933	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.331933	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	2	0.663866	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.331933	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	3.651266	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	136	45.142920	N
hsa-mir-1248	3	0.995800	N
hsa-mir-1249	14	4.647065	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	8	2.655466	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.331933	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	1.659666	N
hsa-mir-125a	6800	2257.146025	N
hsa-mir-125b-1	5405	1794.099156	N
hsa-mir-125b-2	5540	1838.910144	N
hsa-mir-126	11603	3851.421371	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	1.659666	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	24	7.966398	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	10	3.319332	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	8864	2942.256230	N
hsa-mir-1270	7	2.323533	N
hsa-mir-1271	39	12.945396	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.331933	N
hsa-mir-1277	3	0.995800	N
hsa-mir-1278	1	0.331933	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	164	54.437051	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	109	36.180723	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	1	0.331933	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	105	34.852990	N
hsa-mir-1288	1	0.331933	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.995800	N
hsa-mir-129-1	9	2.987399	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	9	2.987399	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	11	3.651266	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	9	2.987399	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	12	3.983199	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	24	7.966398	N
hsa-mir-1307	1028	341.227370	N
hsa-mir-130a	610	202.479276	N
hsa-mir-130b	34	11.285730	N
hsa-mir-132	544	180.571682	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.995800	N
hsa-mir-133a-2	2	0.663866	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	2609	866.013820	N
hsa-mir-1343	5	1.659666	N
hsa-mir-135a-1	13	4.315132	N
hsa-mir-135a-2	34	11.285730	N
hsa-mir-135b	12	3.983199	N
hsa-mir-136	551	182.895215	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.331933	N
hsa-mir-138-2	2	0.663866	N
hsa-mir-139	556	184.554881	N
hsa-mir-140	2748	912.152541	N
hsa-mir-141	2338	776.059913	N
hsa-mir-142	3636	1206.909257	N
hsa-mir-143	217597	72227.676992	N
hsa-mir-144	270	89.621975	N
hsa-mir-145	14835	4924.229600	N
hsa-mir-1468	39	12.945396	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	278	92.277440	N
hsa-mir-146b	1976	655.900080	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	198106	65757.966232	N
hsa-mir-148b	267	88.626175	N
hsa-mir-149	186	61.739582	N
hsa-mir-150	2321	770.417048	N
hsa-mir-151a	4530	1503.657572	N
hsa-mir-151b	11	3.651266	N
hsa-mir-152	789	261.895326	N
hsa-mir-153-1	4	1.327733	N
hsa-mir-153-2	127	42.155521	N
hsa-mir-1537	1	0.331933	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	53	17.592462	N
hsa-mir-155	297	98.584172	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	152	50.453852	N
hsa-mir-15b	173	57.424450	N
hsa-mir-16-1	469	155.676689	N
hsa-mir-16-2	505	167.626286	N
