miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	14172	10043.990296	N
hsa-let-7a-2	13703	9711.600270	N
hsa-let-7a-3	13977	9905.789752	N
hsa-let-7b	121530	86130.831266	N
hsa-let-7c	862	610.917276	N
hsa-let-7d	818	579.733564	N
hsa-let-7e	1477	1046.780530	N
hsa-let-7f-1	2030	1438.703098	N
hsa-let-7f-2	1929	1367.122303	N
hsa-let-7g	1246	883.066039	N
hsa-let-7i	758	537.210319	N
hsa-mir-100	1228	870.309066	N
hsa-mir-101-1	7186	5092.867222	N
hsa-mir-101-2	7165	5077.984086	N
hsa-mir-103a-1	29677	21032.705336	Y
hsa-mir-103a-2	29467	20883.873981	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	54	38.270920	Y
hsa-mir-106b	374	265.061556	N
hsa-mir-107	210	148.831355	Y
hsa-mir-10a	6310	4472.027856	N
hsa-mir-10b	42368	30027.080219	N
hsa-mir-1-1	2	1.417441	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	16	11.339532	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	4	2.834883	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	1.417441	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.708721	N
hsa-mir-1229	2	1.417441	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	2.834883	N
hsa-mir-1245b	1	0.708721	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	4.961045	N
hsa-mir-1248	9	6.378487	N
hsa-mir-1249	0	0.000000	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.708721	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	816	578.316122	N
hsa-mir-125b-1	149	105.599390	N
hsa-mir-125b-2	157	111.269156	N
