miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	216428	25956.111304	N
hsa-let-7a-2	433055	51936.088587	Y
hsa-let-7a-3	216839	26005.402346	N
hsa-let-7b	156950	18822.941898	N
hsa-let-7c	63818	7653.663626	Y
hsa-let-7d	2315	277.636894	N
hsa-let-7e	15601	1871.020813	N
hsa-let-7f-1	107617	12906.457714	N
hsa-let-7f-2	108264	12984.052129	N
hsa-let-7g	16488	1977.398318	N
hsa-let-7i	6194	742.843594	N
hsa-mir-100	127389	15277.704654	Y
hsa-mir-101-1	176414	21157.250538	N
hsa-mir-101-2	177156	21246.238260	N
hsa-mir-103a-1	130027	15594.078791	Y
hsa-mir-103a-2	129905	15579.447386	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.239859	N
hsa-mir-105-2	1	0.119930	N
hsa-mir-106a	199	23.865979	Y
hsa-mir-106b	4389	526.370768	N
hsa-mir-107	1721	206.398745	Y
hsa-mir-10a	111330	13351.756110	N
hsa-mir-10b	336178	40317.674173	N
hsa-mir-1-1	57	6.835984	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	5	0.599648	N
hsa-mir-1180	24	2.878309	N
hsa-mir-1181	2	0.239859	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.239859	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	47	5.636689	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.119930	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	1	0.119930	N
hsa-mir-1228	4	0.479718	N
hsa-mir-1229	2	0.239859	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.119930	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.319225	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	518	62.123504	N
hsa-mir-1248	4	0.479718	N
hsa-mir-1249	12	1.439155	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.239859	N
hsa-mir-1254-2	2	0.239859	N
hsa-mir-1255a	4	0.479718	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	21	2.518520	N
hsa-mir-125a	1998	239.619228	N
hsa-mir-125b-1	2195	263.245349	N
hsa-mir-125b-2	2360	283.033723	N
hsa-mir-126	9482	1137.171934	N
