miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	18929	7727.049695	N
hsa-let-7a-2	19028	7767.462708	N
hsa-let-7a-3	19040	7772.361255	N
hsa-let-7b	104913	42826.771866	N
hsa-let-7c	5750	2347.220442	N
hsa-let-7d	1559	636.402899	N
hsa-let-7e	4458	1819.810214	N
hsa-let-7f-1	3729	1522.223483	N
hsa-let-7f-2	3749	1530.387728	N
hsa-let-7g	1716	700.492222	N
hsa-let-7i	1277	521.287044	N
hsa-mir-100	5811	2372.121389	N
hsa-mir-101-1	13310	5433.305058	N
hsa-mir-101-2	13269	5416.568356	N
hsa-mir-103a-1	35959	14678.904326	Y
hsa-mir-103a-2	35964	14680.945387	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	130	53.067593	Y
hsa-mir-106b	1891	771.929366	N
hsa-mir-107	496	202.473276	Y
hsa-mir-10a	35166	14355.192011	N
hsa-mir-10b	148118	60463.582160	N
hsa-mir-1-1	3	1.224637	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.408212	N
hsa-mir-1180	8	3.265698	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.816425	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.408212	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	1	0.408212	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.816425	N
hsa-mir-1224	9	3.673910	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	2.449274	N
hsa-mir-1227	1	0.408212	N
hsa-mir-1228	4	1.632849	N
hsa-mir-1229	6	2.449274	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
