miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	104135	14182.010480	N
hsa-let-7a-2	207599	28272.638342	Y
hsa-let-7a-3	103733	14127.262622	N
hsa-let-7b	310427	42276.650188	N
hsa-let-7c	41425	5641.616979	Y
hsa-let-7d	1786	243.233022	N
hsa-let-7e	4016	546.933827	N
hsa-let-7f-1	16265	2215.109238	N
hsa-let-7f-2	16392	2232.405203	N
hsa-let-7g	3728	507.711481	N
hsa-let-7i	2649	360.763872	N
hsa-mir-100	76131	10368.182070	Y
hsa-mir-101-1	119862	16323.850196	N
hsa-mir-101-2	121219	16508.658265	N
hsa-mir-103a-1	112151	15273.699115	Y
hsa-mir-103a-2	111954	15246.869941	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	58	7.898945	Y
hsa-mir-106b	4484	610.670140	N
hsa-mir-107	1098	149.535195	Y
hsa-mir-10a	416157	56675.881648	N
hsa-mir-10b	219151	29845.890227	N
hsa-mir-1-1	20	2.723774	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.136189	N
hsa-mir-1180	53	7.218001	N
hsa-mir-1181	1	0.136189	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.136189	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	18	2.451397	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.136189	N
hsa-mir-1225	1	0.136189	N
hsa-mir-1226	3	0.408566	N
hsa-mir-1227	1	0.136189	N
hsa-mir-1228	9	1.225698	N
hsa-mir-1229	3	0.408566	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.136189	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.225698	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	268	36.498572	N
hsa-mir-1248	5	0.680944	N
hsa-mir-1249	8	1.089510	N
hsa-mir-1250	2	0.272377	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.136189	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.272377	N
hsa-mir-125a	4588	624.833765	N
hsa-mir-125b-1	3155	429.675355	N
hsa-mir-125b-2	3527	480.337552	N
hsa-mir-126	25738	3505.224811	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.680944	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	67	9.124643	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6279	855.128860	N
hsa-mir-1270	5	0.680944	N
hsa-mir-1271	30	4.085661	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
