miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	121820	10336.333008	N
hsa-let-7a-2	121322	10294.078092	N
hsa-let-7a-3	122039	10354.914989	N
hsa-let-7b	203054	17228.975231	N
hsa-let-7c	14230	1207.404521	N
hsa-let-7d	3132	265.747783	N
hsa-let-7e	10125	859.098438	N
hsa-let-7f-1	28450	2413.960549	N
hsa-let-7f-2	28509	2418.966653	N
hsa-let-7g	5106	433.240160	N
hsa-let-7i	8094	686.769655	N
hsa-mir-100	254799	21619.498556	Y
hsa-mir-101-1	87210	7399.701212	N
hsa-mir-101-2	86878	7371.531268	N
hsa-mir-103a-1	403917	34272.045802	Y
hsa-mir-103a-2	405071	34369.961812	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1783	151.286174	N
hsa-mir-105-2	1738	147.467959	N
hsa-mir-106a	88	7.466732	Y
hsa-mir-106b	9380	795.885763	N
hsa-mir-107	5190	440.367496	Y
hsa-mir-10a	104084	8831.447093	N
hsa-mir-10b	330004	28000.584781	N
hsa-mir-1-1	15	1.272738	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.339397	N
hsa-mir-1180	221	18.751679	N
hsa-mir-1181	7	0.593945	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.169698	N
hsa-mir-1185-2	2	0.169698	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.084849	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	16	1.357588	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	1	0.084849	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	0.339397	N
hsa-mir-1225	4	0.339397	N
hsa-mir-1226	13	1.103040	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	29	2.460628	N
hsa-mir-1229	35	2.969723	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.169698	N
hsa-mir-1236	3	0.254548	N
hsa-mir-1237	2	0.169698	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	2	0.169698	N
hsa-mir-1243	2	0.169698	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	1	0.084849	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	19	1.612135	N
hsa-mir-1245b	1	0.084849	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	90	7.636431	N
hsa-mir-1248	10	0.848492	N
hsa-mir-1249	28	2.375778	N
hsa-mir-1250	1	0.084849	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.339397	N
hsa-mir-1254-2	4	0.339397	N
hsa-mir-1255a	1	0.084849	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.254548	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.424246	N
hsa-mir-125a	8691	737.424644	N
hsa-mir-125b-1	8633	732.503389	N
hsa-mir-125b-2	8913	756.261173	N
hsa-mir-126	21883	1856.755666	N
hsa-mir-1260a	1	0.084849	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.254548	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	60	5.090954	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1295	109.879751	N
hsa-mir-1269b	1	0.084849	N
hsa-mir-127	9139	775.437099	N
hsa-mir-1270	12	1.018191	N
hsa-mir-1271	22	1.866683	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	5	0.424246	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	6	0.509095	N
hsa-mir-1277	11	0.933342	N
hsa-mir-1278	2	0.169698	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	940	79.758275	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	765	64.909660	N
hsa-mir-1283-1	1	0.084849	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.084849	N
hsa-mir-1285-1	1	0.084849	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	1443	122.437437	N
hsa-mir-1288	9	0.763643	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	9	0.763643	N
hsa-mir-129-1	7	0.593945	N
hsa-mir-1292	4	0.339397	N
hsa-mir-129-2	12	1.018191	N
hsa-mir-1293	1	0.084849	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	20	1.696985	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	15	1.272738	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	269	22.824442	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	6	0.509095	N
hsa-mir-1305	1	0.084849	N
hsa-mir-1306	151	12.812233	N
hsa-mir-1307	30415	2580.689283	N
hsa-mir-130a	1032	87.564404	N
hsa-mir-130b	235	19.939569	N
hsa-mir-132	1509	128.037486	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.339397	N
hsa-mir-133a-2	5	0.424246	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	2614	221.795883	N
hsa-mir-1343	10	0.848492	N
hsa-mir-135a-1	1	0.084849	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	2723	231.044449	N
hsa-mir-136	383	32.497254	N
hsa-mir-137	4	0.339397	N
hsa-mir-138-1	10	0.848492	N
hsa-mir-138-2	12	1.018191	N
hsa-mir-139	642	54.473205	N
hsa-mir-140	25196	2137.861160	N
hsa-mir-141	19303	1637.844657	N
hsa-mir-142	70274	5962.694679	N
hsa-mir-143	460277	39054.148317	N
hsa-mir-144	264	22.400196	N
hsa-mir-145	10636	902.456394	N
hsa-mir-1468	483	40.982177	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	5588	474.137489	N
hsa-mir-146b	14801	1255.853430	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	45	3.818215	N
hsa-mir-148a	788370	66892.586222	N
hsa-mir-148b	2817	239.020277	N
hsa-mir-149	188	15.951655	N
hsa-mir-150	35763	3034.462957	N
hsa-mir-151a	32867	2788.739591	N
hsa-mir-151b	57	4.836406	N
hsa-mir-152	2219	188.280438	N
hsa-mir-153-1	3	0.254548	N
hsa-mir-153-2	138	11.709194	N
hsa-mir-1537	4	0.339397	N
hsa-mir-1538	6	0.509095	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	47	3.987914	N
hsa-mir-155	9741	826.516334	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2508	212.801865	N
hsa-mir-15b	1856	157.480168	N
hsa-mir-16-1	3544	300.705666	N
hsa-mir-16-2	3711	314.875487	N
hsa-mir-17	20303	1722.693885	Y
hsa-mir-181a-1	16350	1387.284885	N
hsa-mir-181a-2	19852	1684.426883	N
hsa-mir-181b-1	2883	244.620326	N
hsa-mir-181b-2	2854	242.159698	N
hsa-mir-181c	1799	152.643762	N
hsa-mir-181d	368	31.224516	N
hsa-mir-182	120810	10250.635287	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	49278	4181.200279	N
hsa-mir-184	5	0.424246	N
hsa-mir-185	1145	97.152367	N
hsa-mir-186	4285	363.578944	N
hsa-mir-187	342	29.018436	N
hsa-mir-188	83	7.042486	N
hsa-mir-18a	524	44.460996	Y
hsa-mir-18b	10	0.848492	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.084849	N
hsa-mir-190a	47	3.987914	N
hsa-mir-190b	8	0.678794	N
hsa-mir-191	5449	462.343446	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	2	0.169698	N
hsa-mir-1914	1	0.084849	N
hsa-mir-1915	5	0.424246	N
hsa-mir-192	20159	1710.475596	Y
hsa-mir-193a	6152	521.992453	N
hsa-mir-193b	661	56.085340	N
hsa-mir-194-1	2079	176.401546	N
hsa-mir-194-2	2322	197.019908	N
hsa-mir-195	356	30.206325	N
hsa-mir-196a-1	1635	138.728488	N
hsa-mir-196a-2	1791	151.964968	N
hsa-mir-196b	2645	224.426209	N
hsa-mir-197	3328	282.378232	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	226	19.175926	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	34881	2959.625937	Y
hsa-mir-199a-2	64668	5487.029905	Y
hsa-mir-199b	91590	7771.340832	Y
hsa-mir-19a	192	16.291052	N
hsa-mir-19b-1	471	39.963987	N
hsa-mir-19b-2	370	31.394215	N
hsa-mir-200a	20438	1734.148531	N
hsa-mir-200b	12790	1085.221632	N
hsa-mir-200c	161896	13736.750687	N
hsa-mir-202	9	0.763643	N
hsa-mir-203a	20389	1729.990919	N
hsa-mir-203b	167	14.169821	N
hsa-mir-204	12	1.018191	N
hsa-mir-205	2950	250.305224	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	0.254548	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	4905	416.185465	N
hsa-mir-20b	104	8.824320	N
hsa-mir-21	4309424	365651.301405	N
hsa-mir-210	14517	1231.756249	N
hsa-mir-211	1	0.084849	N
hsa-mir-2110	15	1.272738	N
hsa-mir-2113	0	0.000000	N
