miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	30448	5980.589405	N
hsa-let-7a-2	30891	6067.603366	N
hsa-let-7a-3	30221	5936.002115	N
hsa-let-7b	65233	12813.051387	N
hsa-let-7c	12646	2483.924514	N
hsa-let-7d	2607	512.066362	N
hsa-let-7e	2003	393.428816	N
hsa-let-7f-1	9905	1945.537902	N
hsa-let-7f-2	9955	1955.358891	N
hsa-let-7g	2519	494.781421	N
hsa-let-7i	2698	529.940561	N
hsa-mir-100	11662	2290.647453	N
hsa-mir-101-1	29172	5729.957768	N
hsa-mir-101-2	29258	5746.849869	N
hsa-mir-103a-1	135307	26576.970920	Y
hsa-mir-103a-2	135880	26689.519453	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	6	1.178519	N
hsa-mir-105-2	10	1.964198	N
hsa-mir-106a	424	83.281986	Y
hsa-mir-106b	5027	987.402225	N
hsa-mir-107	1225	240.614228	Y
hsa-mir-10a	73260	14389.712946	N
hsa-mir-10b	124741	24501.599544	N
hsa-mir-1-1	5	0.982099	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.392840	N
hsa-mir-1180	63	12.374446	N
hsa-mir-1181	2	0.392840	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.196420	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.196420	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	2	0.392840	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.589259	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.374938	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	1.178519	N
hsa-mir-1229	6	1.178519	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.767778	N
hsa-mir-1245b	1	0.196420	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	105	20.624077	N
hsa-mir-1248	4	0.785679	N
hsa-mir-1249	12	2.357037	N
hsa-mir-1250	1	0.196420	N
