miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	71548	8133.755186	N
hsa-let-7a-2	71189	8092.943170	N
hsa-let-7a-3	72539	8246.414539	N
hsa-let-7b	348868	39660.184832	N
hsa-let-7c	8871	1008.477417	N
hsa-let-7d	8705	989.606123	N
hsa-let-7e	7194	817.831872	N
hsa-let-7f-1	16177	1839.041729	N
hsa-let-7f-2	16153	1836.313349	N
hsa-let-7g	5587	635.144102	N
hsa-let-7i	3577	406.642286	N
hsa-mir-100	25778	2930.507368	Y
hsa-mir-101-1	37325	4243.199144	N
hsa-mir-101-2	37582	4272.415545	N
hsa-mir-103a-1	137926	15679.771871	Y
hsa-mir-103a-2	137854	15671.586731	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.341047	N
hsa-mir-105-2	6	0.682095	N
hsa-mir-106a	200	22.736499	Y
hsa-mir-106b	6993	794.981691	N
hsa-mir-107	1306	148.469339	Y
hsa-mir-10a	136164	15479.463314	N
hsa-mir-10b	438058	49799.526603	N
hsa-mir-1-1	9	1.023142	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.113682	N
hsa-mir-1180	663	75.371495	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.227365	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	7	0.795777	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
