miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	66065	9542.050886	N
hsa-let-7a-2	65862	9512.730727	N
hsa-let-7a-3	66912	9664.386723	N
hsa-let-7b	83622	12077.883587	N
hsa-let-7c	5405	780.667298	N
hsa-let-7d	2206	318.622028	N
hsa-let-7e	8739	1262.211196	N
hsa-let-7f-1	27722	4004.007185	N
hsa-let-7f-2	27669	3996.352168	N
hsa-let-7g	3559	514.041612	N
hsa-let-7i	3792	547.694800	N
hsa-mir-100	22222	3209.618630	N
hsa-mir-101-1	44759	6464.734059	N
hsa-mir-101-2	45000	6499.542721	N
hsa-mir-103a-1	212480	30689.396386	Y
hsa-mir-103a-2	212707	30722.182968	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.144434	N
hsa-mir-106a	32	4.621897	Y
hsa-mir-106b	3864	558.094068	N
hsa-mir-107	1808	261.137183	Y
hsa-mir-10a	54262	7837.293047	N
hsa-mir-10b	139561	20157.392927	N
hsa-mir-1-1	2	0.288869	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	161	23.253920	N
hsa-mir-1181	1	0.144434	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.144434	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.144434	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	32	4.621897	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	0.866606	N
hsa-mir-1227	1	0.144434	N
hsa-mir-1228	6	0.866606	N
hsa-mir-1229	3	0.433303	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.144434	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.299909	N
hsa-mir-1245b	2	0.288869	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	168	24.264959	N
hsa-mir-1248	2	0.288869	N
hsa-mir-1249	10	1.444343	N
hsa-mir-1250	1	0.144434	N
hsa-mir-1251	53	7.655017	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
