miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41772	8194.782036	N
hsa-let-7a-2	82791	16241.841413	Y
hsa-let-7a-3	41875	8214.988455	N
hsa-let-7b	137858	27044.820977	N
hsa-let-7c	28131	5518.706632	Y
hsa-let-7d	3833	751.953451	N
hsa-let-7e	2777	544.788608	N
hsa-let-7f-1	10955	2149.139069	N
hsa-let-7f-2	11110	2179.546788	N
hsa-let-7g	4522	887.120664	N
hsa-let-7i	4416	866.325708	N
hsa-mir-100	56780	11139.033898	Y
hsa-mir-101-1	65187	12788.309311	N
hsa-mir-101-2	66512	13048.246259	N
hsa-mir-103a-1	35940	7050.667106	Y
hsa-mir-103a-2	35973	7057.141007	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.196179	N
hsa-mir-105-2	1	0.196179	N
hsa-mir-106a	254	49.829423	Y
hsa-mir-106b	2258	442.971795	N
hsa-mir-107	505	99.070309	Y
hsa-mir-10a	58005	11379.352963	N
hsa-mir-10b	304885	59811.982211	N
hsa-mir-1-1	6	1.177073	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.196179	N
hsa-mir-1180	28	5.493007	N
hsa-mir-1181	2	0.392358	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.392358	N
hsa-mir-1185-2	2	0.392358	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	5	0.980894	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	1.569431	N
hsa-mir-1225	1	0.196179	N
hsa-mir-1226	10	1.961788	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.765609	N
hsa-mir-1229	5	0.980894	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.196179	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.196179	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.765609	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.196179	N
hsa-mir-1247	594	116.530224	N
hsa-mir-1248	16	3.138861	N
hsa-mir-1249	16	3.138861	N
hsa-mir-1250	2	0.392358	N
hsa-mir-1251	2	0.392358	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.392358	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.392358	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	20	3.923577	N
