miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	10518	8303.891808	N
hsa-let-7a-2	10555	8333.103064	N
hsa-let-7a-3	10761	8495.738709	N
hsa-let-7b	54056	42676.856395	N
hsa-let-7c	848	669.490421	N
hsa-let-7d	1008	795.809369	N
hsa-let-7e	2841	2242.950811	N
hsa-let-7f-1	1581	1248.189099	N
hsa-let-7f-2	1568	1237.925685	N
hsa-let-7g	1021	806.072783	N
hsa-let-7i	523	412.905059	N
hsa-mir-100	1024	808.441264	N
hsa-mir-101-1	5425	4283.001812	N
hsa-mir-101-2	5421	4279.843838	N
hsa-mir-103a-1	27569	21765.544139	Y
hsa-mir-103a-2	27301	21553.959902	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	75	59.212007	N
hsa-mir-105-2	79	62.369980	N
hsa-mir-106a	98	77.370355	Y
hsa-mir-106b	805	635.542204	N
hsa-mir-107	219	172.899059	Y
hsa-mir-10a	117666	92896.532940	N
hsa-mir-10b	32604	25740.643516	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	61	48.159099	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	2	1.578987	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	17	13.421388	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	1	0.789493	N
hsa-mir-1228	3	2.368480	N
hsa-mir-1229	1	0.789493	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.789493	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	3.157974	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	88	69.475421	N
hsa-mir-1248	2	1.578987	N
hsa-mir-1249	8	6.315947	N
hsa-mir-1250	1	0.789493	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.789493	N
hsa-mir-1254-2	1	0.789493	N
hsa-mir-1255a	1	0.789493	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	1.578987	N
hsa-mir-125a	2720	2147.422107	N
hsa-mir-125b-1	205	161.846151	N
hsa-mir-125b-2	197	155.530204	N
hsa-mir-126	4641	3664.038969	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.789493	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	25	19.737336	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4	3.157974	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	475	375.009375	N
hsa-mir-1270	4	3.157974	N
hsa-mir-1271	4	3.157974	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
