miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	8649	7284.313081	N
hsa-let-7a-2	8868	7468.758054	N
hsa-let-7a-3	8994	7574.877079	N
hsa-let-7b	11244	9469.859670	N
hsa-let-7c	1214	1022.448385	N
hsa-let-7d	536	451.426964	N
hsa-let-7e	1125	947.491296	N
hsa-let-7f-1	2330	1962.359750	N
hsa-let-7f-2	2403	2023.841408	N
hsa-let-7g	656	552.492702	N
hsa-let-7i	739	622.396504	N
hsa-mir-100	1419	1195.102354	N
hsa-mir-101-1	3415	2876.162467	N
hsa-mir-101-2	3402	2865.213678	N
hsa-mir-103a-1	55754	46956.826401	Y
hsa-mir-103a-2	55593	46821.229869	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	248	208.869192	N
hsa-mir-105-2	251	211.395836	N
hsa-mir-106a	69	58.112799	Y
hsa-mir-106b	722	608.078858	N
hsa-mir-107	200	168.442897	Y
hsa-mir-10a	17447	14694.116121	N
hsa-mir-10b	59247	49898.681597	N
hsa-mir-1-1	2	1.684429	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	4	3.368858	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	3.368858	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	1.684429	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	1.684429	N
hsa-mir-1229	3	2.526643	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.842214	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	1.684429	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	3	2.526643	N
hsa-mir-1248	1	0.842214	N
hsa-mir-1249	3	2.526643	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.842214	N
hsa-mir-1252	1	0.842214	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.842214	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1237	1041.819318	N
hsa-mir-125b-1	214	180.233900	N
hsa-mir-125b-2	224	188.656045	N
hsa-mir-126	3724	3136.406742	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
