miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	32973	5531.305060	N
hsa-let-7a-2	32668	5480.140530	N
hsa-let-7a-3	32896	5518.388113	N
hsa-let-7b	51015	8557.896692	N
hsa-let-7c	13389	2246.038985	N
hsa-let-7d	2856	479.101303	N
hsa-let-7e	4405	738.950013	N
hsa-let-7f-1	11893	1995.081160	N
hsa-let-7f-2	12071	2024.941115	N
hsa-let-7g	2023	339.363423	N
hsa-let-7i	2255	378.282016	N
hsa-mir-100	24519	4113.124943	N
hsa-mir-101-1	16321	2737.889482	N
hsa-mir-101-2	16623	2788.550754	N
hsa-mir-103a-1	116781	19590.311350	Y
hsa-mir-103a-2	117115	19646.340704	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	77	12.916947	N
hsa-mir-105-2	95	15.936493	N
hsa-mir-106a	54	9.058638	Y
hsa-mir-106b	1207	202.477336	N
hsa-mir-107	452	75.824156	Y
hsa-mir-10a	225034	37750.028895	N
hsa-mir-10b	369421	61971.317332	N
hsa-mir-1-1	5	0.838763	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.167753	N
hsa-mir-1180	76	12.749194	N
hsa-mir-1181	2	0.335505	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.335505	N
hsa-mir-1185-2	1	0.167753	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	6	1.006515	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.167753	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.671010	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.671010	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.167753	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	45	7.548865	N
hsa-mir-1245b	3	0.503258	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	79	13.252452	N
hsa-mir-1248	4	0.671010	N
hsa-mir-1249	6	1.006515	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.167753	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.167753	N
hsa-mir-1254-2	1	0.167753	N
hsa-mir-1255a	5	0.838763	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	26	4.361566	N
hsa-mir-125a	5084	852.853999	N
hsa-mir-125b-1	3198	536.472677	N
hsa-mir-125b-2	3415	572.874982	N
hsa-mir-126	12455	2089.358097	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	1.174268	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	45	7.548865	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	798	133.866540	N
hsa-mir-1269b	1	0.167753	N
hsa-mir-127	7412	1243.381952	N
hsa-mir-1270	7	1.174268	N
hsa-mir-1271	20	3.355051	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	7	1.174268	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	221	37.073315	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	103	17.278513	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.167753	N
hsa-mir-1285-1	1	0.167753	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	116	19.459297	N
hsa-mir-1288	1	0.167753	N
hsa-mir-1289-1	1	0.167753	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.167753	N
hsa-mir-129-1	4	0.671010	N
hsa-mir-1292	2	0.335505	N
hsa-mir-129-2	8	1.342020	N
hsa-mir-1293	7	1.174268	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	5	0.838763	N
hsa-mir-1295b	1	0.167753	N
hsa-mir-1296	25	4.193814	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.167753	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	74	12.413689	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
