miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38065	11305.930795	N
hsa-let-7a-2	75650	22469.293698	Y
hsa-let-7a-3	38276	11368.601263	N
hsa-let-7b	56009	16635.593797	N
hsa-let-7c	32205	9565.414455	Y
hsa-let-7d	2070	614.824031	N
hsa-let-7e	4836	1436.371505	N
hsa-let-7f-1	18384	5460.350236	N
hsa-let-7f-2	18549	5509.357948	N
hsa-let-7g	3059	908.573290	N
hsa-let-7i	1889	561.064055	N
hsa-mir-100	34972	10387.258945	Y
hsa-mir-101-1	13929	4137.141995	N
hsa-mir-101-2	14013	4162.091376	N
hsa-mir-103a-1	29938	8892.078185	Y
hsa-mir-103a-2	29554	8778.023872	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	109	32.374792	Y
hsa-mir-106b	1260	374.240715	N
hsa-mir-107	299	88.807916	Y
hsa-mir-10a	133193	39560.510714	N
hsa-mir-10b	655427	194672.594323	N
hsa-mir-1-1	136	40.394236	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	1.188066	N
hsa-mir-1180	18	5.346296	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.297016	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.297016	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	114	33.859874	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.594033	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	3.861214	N
hsa-mir-1227	1	0.297016	N
hsa-mir-1228	30	8.910493	N
hsa-mir-1229	2	0.594033	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.297016	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	2.970164	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	209	62.076436	N
hsa-mir-1248	1	0.297016	N
hsa-mir-1249	10	2.970164	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.297016	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.594033	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	21	6.237345	N
hsa-mir-125a	4087	1213.906191	N
hsa-mir-125b-1	3214	954.610839	N
hsa-mir-125b-2	3364	999.163305	N
hsa-mir-126	47555	14124.616812	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.594033	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	24	7.128395	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.594033	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1263	375.131764	N
hsa-mir-1270	8	2.376132	N
hsa-mir-1271	18	5.346296	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.891049	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	131	38.909154	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	87	25.840430	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.297016	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	155	46.037548	N
hsa-mir-1288	2	0.594033	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	0.891049	N
hsa-mir-1295a	1	0.297016	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	40	11.880658	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	14	4.158230	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.297016	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	1	0.297016	N
hsa-mir-1306	43	12.771707	N
hsa-mir-1307	3245	963.818348	N
hsa-mir-130a	177	52.571910	N
hsa-mir-130b	25	7.425411	N
hsa-mir-132	128	38.018104	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	234	69.501847	Y
hsa-mir-133a-2	199	59.106272	Y
hsa-mir-133b	32	9.504526	Y
hsa-mir-134	785	233.157906	N
hsa-mir-1343	6	1.782099	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	73	21.682200	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	2839	843.229674	N
hsa-mir-140	3347	994.114025	N
hsa-mir-141	14	4.158230	N
hsa-mir-142	3263	969.164644	N
hsa-mir-143	655924	194820.211494	N
hsa-mir-144	5263	1563.197525	N
hsa-mir-145	41707	12387.664670	N
hsa-mir-1468	26	7.722427	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	137	40.691252	N
hsa-mir-146b	205	60.888370	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	70023	20797.982189	N
hsa-mir-148b	480	142.567891	N
hsa-mir-149	143	42.473351	N
hsa-mir-150	2354	699.176700	N
hsa-mir-151a	4851	1440.826751	N
