miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	14527	4892.387348	N
hsa-let-7a-2	14481	4876.895518	N
hsa-let-7a-3	14722	4958.059237	N
hsa-let-7b	27941	9409.939760	N
hsa-let-7c	2573	866.532157	N
hsa-let-7d	1650	555.685215	N
hsa-let-7e	7194	2422.787539	N
hsa-let-7f-1	5047	1699.723201	N
hsa-let-7f-2	5011	1687.599160	N
hsa-let-7g	1560	525.375113	N
hsa-let-7i	1203	405.145039	N
hsa-mir-100	3556	1197.585834	N
hsa-mir-101-1	8575	2887.879226	N
hsa-mir-101-2	8561	2883.164321	N
hsa-mir-103a-1	73617	24792.653639	Y
hsa-mir-103a-2	73943	24902.443567	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.336779	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	136	45.801933	Y
hsa-mir-106b	2110	710.603518	N
hsa-mir-107	582	196.005331	Y
hsa-mir-10a	39459	13288.959343	N
hsa-mir-10b	115852	39016.511260	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.673558	N
hsa-mir-1180	31	10.440146	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.673558	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	24	8.082694	N
hsa-mir-1225	1	0.336779	N
hsa-mir-1226	12	4.041347	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	1.010337	N
hsa-mir-1229	8	2.694231	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.336779	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	3.704568	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	56	18.859619	N
hsa-mir-1248	2	0.673558	N
hsa-mir-1249	19	6.398799	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.673558	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	1.347116	N
hsa-mir-1254-2	8	2.694231	N
hsa-mir-1255a	1	0.336779	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.336779	N
hsa-mir-1258	1	0.336779	N
hsa-mir-125a	9103	3065.698495	N
hsa-mir-125b-1	795	267.739240	N
hsa-mir-125b-2	873	294.007996	N
hsa-mir-126	14519	4889.693117	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.673558	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	63	21.217072	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	43	14.481493	N
hsa-mir-1269b	9	3.031010	N
hsa-mir-127	2067	696.122024	N
hsa-mir-1270	1	0.336779	N
hsa-mir-1271	18	6.062021	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	10	3.367789	N
hsa-mir-1276	1	0.336779	N
hsa-mir-1277	15	5.051684	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	111	37.382460	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	66	22.227409	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	267	89.919971	N
hsa-mir-1288	1	0.336779	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	1.010337	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-1292	10	3.367789	N
hsa-mir-129-2	1	0.336779	N
hsa-mir-1293	7	2.357452	N
hsa-mir-1294	1	0.336779	N
hsa-mir-1295a	2	0.673558	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	33	11.113704	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	99	33.341113	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.336779	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.673558	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	85	28.626208	N
hsa-mir-1307	7769	2616.435417	N
hsa-mir-130a	371	124.944979	N
hsa-mir-130b	204	68.702899	N
hsa-mir-132	155	52.200732	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	1.010337	N
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	1260	424.341437	N
hsa-mir-1343	7	2.357452	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	129	43.444480	N
hsa-mir-136	144	48.496164	N
hsa-mir-137	1	0.336779	N
hsa-mir-138-1	1	0.336779	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	114	38.392797	N
hsa-mir-140	1302	438.486152	N
hsa-mir-141	11206	3773.944560	N
hsa-mir-142	14308	4818.632765	N
hsa-mir-143	64335	21666.671718	N
hsa-mir-144	87	29.299766	N
hsa-mir-145	4576	1541.100331	N
hsa-mir-1468	22	7.409136	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	314	105.748580	N
hsa-mir-146b	2120	713.971307	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.673558	N
hsa-mir-148a	89248	30056.844914	N
hsa-mir-148b	1196	402.787586	N
hsa-mir-149	2457	827.465803	N
hsa-mir-150	3497	1177.715878	N
hsa-mir-151a	6979	2350.380072	N
hsa-mir-151b	6	2.020674	N
hsa-mir-152	1380	464.754907	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	80	26.942313	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	1.010337	N
hsa-mir-1539	1	0.336779	N
hsa-mir-154	18	6.062021	N
hsa-mir-155	1200	404.134702	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	442	148.856282	N
hsa-mir-15b	696	234.398127	N
hsa-mir-16-1	1533	516.282082	N
hsa-mir-16-2	1566	527.395786	N
hsa-mir-17	4416	1487.215704	Y
hsa-mir-181a-1	2692	906.608848	Y
hsa-mir-181a-2	3383	1139.323081	N
hsa-mir-181b-1	457	153.907966	N
hsa-mir-181b-2	312	105.075023	N
hsa-mir-181c	439	147.845945	Y
hsa-mir-181d	56	18.859619	N
hsa-mir-182	134498	45296.090973	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	61629	20755.347965	N
hsa-mir-184	15	5.051684	N
hsa-mir-185	247	83.184393	N
hsa-mir-186	932	313.877952	N
hsa-mir-187	9	3.031010	N
hsa-mir-188	37	12.460820	N
hsa-mir-18a	25	8.419473	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	2	0.673558	N
hsa-mir-1909	1	0.336779	N
hsa-mir-190a	5	1.683895	N
hsa-mir-190b	126	42.434144	N
hsa-mir-191	5008	1686.588824	N
hsa-mir-1910	4	1.347116	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.336779	N
hsa-mir-1914	2	0.673558	N
hsa-mir-1915	1	0.336779	N
hsa-mir-192	1731	582.964308	Y
hsa-mir-193a	1145	385.611862	N
hsa-mir-193b	721	242.817600	N
hsa-mir-194-1	98	33.004334	N
hsa-mir-194-2	114	38.392797	N
hsa-mir-195	53	17.849283	N
hsa-mir-196a-1	295	99.349781	N
hsa-mir-196a-2	386	129.996663	N
hsa-mir-196b	1180	397.399124	N
hsa-mir-197	1806	608.222727	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	44	14.818272	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	11071	3728.479406	Y
hsa-mir-199a-2	21225	7148.132544	Y
hsa-mir-199b	29777	10028.265855	Y
hsa-mir-19a	130	43.781259	N
hsa-mir-19b-1	283	95.308434	N
hsa-mir-19b-2	243	81.837277	N
hsa-mir-200a	2983	1004.611514	N
hsa-mir-200b	1776	598.119359	N
hsa-mir-200c	62285	20976.274936	N
hsa-mir-202	2	0.673558	N
hsa-mir-203a	13956	4700.086586	N
hsa-mir-203b	145	48.832943	N
hsa-mir-204	3	1.010337	N
hsa-mir-205	3269	1100.930284	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
