miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	20667	6169.183753	N
hsa-let-7a-2	40684	12144.339855	Y
hsa-let-7a-3	20974	6260.824504	N
hsa-let-7b	57432	17143.686131	N
hsa-let-7c	20650	6164.109183	Y
hsa-let-7d	2621	782.379185	N
hsa-let-7e	3249	969.839745	N
hsa-let-7f-1	7464	2228.034428	N
hsa-let-7f-2	7762	2316.988643	N
hsa-let-7g	1214	362.383949	N
hsa-let-7i	1424	425.069805	N
hsa-mir-100	27510	8211.847149	Y
hsa-mir-101-1	19793	5908.291190	N
hsa-mir-101-2	19583	5845.605333	N
hsa-mir-103a-1	33011	9853.918075	Y
hsa-mir-103a-2	32903	9821.679635	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	185	55.223254	Y
hsa-mir-106b	2381	710.738207	N
hsa-mir-107	312	93.133272	Y
hsa-mir-10a	340302	101581.534299	N
hsa-mir-10b	254769	76049.585109	N
hsa-mir-1-1	6	1.791024	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	54	16.119220	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.298504	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	6	1.791024	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.298504	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.492520	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	2.089529	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	4	1.194016	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	3.880553	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	100	29.850408	N
hsa-mir-1248	1	0.298504	N
hsa-mir-1249	5	1.492520	N
hsa-mir-1250	0	0.000000	N
