miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28067	6365.556729	N
hsa-let-7a-2	27922	6332.670930	N
hsa-let-7a-3	28178	6390.731376	N
hsa-let-7b	41606	9436.183179	N
hsa-let-7c	11451	2597.070941	N
hsa-let-7d	951	215.685483	N
hsa-let-7e	2672	606.005899	N
hsa-let-7f-1	11340	2571.896295	N
hsa-let-7f-2	11573	2624.740372	N
hsa-let-7g	1530	347.001881	N
hsa-let-7i	2529	573.573698	N
hsa-mir-100	9695	2198.812573	N
hsa-mir-101-1	11552	2619.977601	N
hsa-mir-101-2	11653	2642.884261	N
hsa-mir-103a-1	106922	24249.761521	Y
hsa-mir-103a-2	106996	24266.544619	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	851	193.005621	N
hsa-mir-105-2	853	193.459219	N
hsa-mir-106a	220	49.895695	Y
hsa-mir-106b	1471	333.620763	N
hsa-mir-107	436	98.884196	Y
hsa-mir-10a	70042	15885.428597	N
hsa-mir-10b	272214	61737.758205	N
hsa-mir-1-1	6	1.360792	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	65	14.741910	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.680396	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	6	1.360792	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
