miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	13996	5497.343435	N
hsa-let-7a-2	13940	5475.347777	N
hsa-let-7a-3	13735	5394.827957	N
hsa-let-7b	38386	15077.238147	N
hsa-let-7c	6778	2662.260203	N
hsa-let-7d	1619	635.910190	N
hsa-let-7e	2626	1031.439258	N
hsa-let-7f-1	4641	1822.890175	N
hsa-let-7f-2	4605	1808.750109	N
hsa-let-7g	1351	530.645254	N
hsa-let-7i	2022	794.200373	N
hsa-mir-100	20088	7890.156825	N
hsa-mir-101-1	15703	6167.818231	N
hsa-mir-101-2	15941	6261.299778	N
hsa-mir-103a-1	28572	11222.499045	Y
hsa-mir-103a-2	29189	11464.844065	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	1.178339	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	223	87.589853	Y
hsa-mir-106b	2186	858.616230	N
hsa-mir-107	250	98.194903	Y
hsa-mir-10a	32181	12640.040661	N
hsa-mir-10b	178591	70146.903502	N
hsa-mir-1-1	17	6.677253	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	5	1.963898	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.392780	N
hsa-mir-1185-2	1	0.392780	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.785559	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	14	5.498915	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.785559	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.392780	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
