miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	293788	30216.361275	N
hsa-let-7a-2	585294	60198.016788	Y
hsa-let-7a-3	294098	30248.245055	N
hsa-let-7b	619734	63740.201909	N
hsa-let-7c	69015	7098.255114	Y
hsa-let-7d	2371	243.859493	N
hsa-let-7e	21803	2242.458252	N
hsa-let-7f-1	69565	7154.823111	N
hsa-let-7f-2	70301	7230.521376	N
hsa-let-7g	5839	600.546426	N
hsa-let-7i	3178	326.860172	N
hsa-mir-100	46290	4760.968329	Y
hsa-mir-101-1	44983	4626.542198	N
hsa-mir-101-2	45915	4722.399240	N
hsa-mir-103a-1	106777	10982.110937	Y
hsa-mir-103a-2	107475	11053.900867	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.102851	N
hsa-mir-106a	78	8.022370	Y
hsa-mir-106b	2436	250.544801	N
hsa-mir-107	1370	140.905738	Y
hsa-mir-10a	1359261	139801.222116	N
hsa-mir-10b	184533	18979.385799	N
hsa-mir-1-1	8	0.822807	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	132	13.576319	N
hsa-mir-1181	2	0.205702	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.205702	N
hsa-mir-1185-2	1	0.102851	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	8	0.822807	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	9	0.925658	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.514255	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	0.822807	N
hsa-mir-1229	0	0.000000	N
