miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	76515	12890.262532	N
hsa-let-7a-2	152968	25770.080103	Y
hsa-let-7a-3	77096	12988.141936	N
hsa-let-7b	266085	44826.576566	N
hsa-let-7c	112948	19028.025518	Y
hsa-let-7d	4692	790.447779	N
hsa-let-7e	8926	1503.737612	N
hsa-let-7f-1	14087	2373.196475	N
hsa-let-7f-2	14322	2412.786251	N
hsa-let-7g	2252	379.387979	N
hsa-let-7i	3100	522.248106	N
hsa-mir-100	157236	26489.097818	Y
hsa-mir-101-1	27812	4685.407849	N
hsa-mir-101-2	27935	4706.129306	N
hsa-mir-103a-1	102930	17340.321799	Y
hsa-mir-103a-2	103775	17482.676525	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.168467	N
hsa-mir-105-2	1	0.168467	N
hsa-mir-106a	30	5.054014	Y
hsa-mir-106b	1842	310.316455	N
hsa-mir-107	656	110.514438	Y
hsa-mir-10a	239242	40304.413367	N
hsa-mir-10b	874604	147342.026687	N
hsa-mir-1-1	54	9.097225	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.673869	N
hsa-mir-1180	170	28.639412	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	1.347737	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	70	11.792699	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.168467	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	2.021606	N
hsa-mir-1227	1	0.168467	N
hsa-mir-1228	22	3.706277	N
hsa-mir-1229	3	0.505401	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.336934	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.168467	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	3.032408	N
hsa-mir-1245b	1	0.168467	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	643	108.324365	N
hsa-mir-1248	13	2.190073	N
hsa-mir-1249	31	5.222481	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.336934	N
hsa-mir-1254-2	1	0.168467	N
