miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	42954	16431.514508	N
hsa-let-7a-2	84913	32482.404233	Y
hsa-let-7a-3	42918	16417.743159	N
hsa-let-7b	442374	169224.630976	N
hsa-let-7c	32812	12551.819482	Y
hsa-let-7d	840	321.331475	N
hsa-let-7e	2211	845.790347	N
hsa-let-7f-1	4511	1725.626529	N
hsa-let-7f-2	4468	1709.177418	N
hsa-let-7g	729	278.869816	N
hsa-let-7i	679	259.742942	N
hsa-mir-100	21702	8301.828185	Y
hsa-mir-101-1	25863	9893.566600	N
hsa-mir-101-2	25805	9871.379426	N
hsa-mir-103a-1	10402	3979.154768	Y
hsa-mir-103a-2	10265	3926.747135	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	53	20.274486	Y
hsa-mir-106b	849	324.774312	N
hsa-mir-107	96	36.723597	Y
hsa-mir-10a	28748	10997.187202	N
hsa-mir-10b	145921	55820.250233	N
hsa-mir-1-1	5	1.912687	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.382537	N
hsa-mir-1180	5	1.912687	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	1.147612	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	3.060300	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.382537	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.765075	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	80	30.602998	N
hsa-mir-1248	4	1.530150	N
hsa-mir-1249	4	1.530150	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.382537	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.382537	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	1.912687	N
hsa-mir-125a	1790	684.742072	N
hsa-mir-125b-1	782	299.144302	N
hsa-mir-125b-2	916	350.404323	N
hsa-mir-126	5523	2112.754450	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	1.147612	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	33	12.623737	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	20	7.650749	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1397	534.404846	N
hsa-mir-1270	2	0.765075	N
hsa-mir-1271	13	4.972987	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	1.530150	N
hsa-mir-1276	1	0.382537	N
hsa-mir-1277	4	1.530150	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	169	64.648833	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	112	42.844197	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.765075	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	62	23.717323	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.382537	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	1	0.382537	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.382537	N
hsa-mir-1295a	1	0.382537	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	9	3.442837	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	13	4.972987	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	14	5.355525	N
hsa-mir-1307	679	259.742942	N
hsa-mir-130a	90	34.428372	N
hsa-mir-130b	19	7.268212	N
hsa-mir-132	81	30.985535	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	6	2.295225	Y
hsa-mir-133a-2	0	0.000000	N
hsa-mir-133b	4	1.530150	Y
hsa-mir-134	1139	435.710179	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	1	0.382537	N
hsa-mir-135b	3	1.147612	N
hsa-mir-136	54	20.657023	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	2	0.765075	N
hsa-mir-139	115	43.991809	N
hsa-mir-140	631	241.381144	N
hsa-mir-141	3754	1436.045664	N
hsa-mir-142	1735	663.702511	N
hsa-mir-143	190680	72942.244875	N
hsa-mir-144	40	15.301499	N
hsa-mir-145	1835	701.956258	N
hsa-mir-1468	2	0.765075	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	104	39.783897	N
hsa-mir-146b	356	136.183339	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	8	3.060300	N
hsa-mir-148a	111107	42502.590735	N
hsa-mir-148b	265	101.372430	N
hsa-mir-149	251	96.016905	N
hsa-mir-150	983	376.034334	N
hsa-mir-151a	5395	2063.789653	N
hsa-mir-151b	1	0.382537	N
hsa-mir-152	711	271.984142	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	79	30.220460	N
hsa-mir-1537	1	0.382537	N
hsa-mir-1538	1	0.382537	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	22	8.415824	N
hsa-mir-155	330	126.237365	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	73	27.925235	N
hsa-mir-15b	118	45.139422	N
hsa-mir-16-1	629	240.616069	N
hsa-mir-16-2	654	250.179506	N
hsa-mir-17	288	110.170792	Y
hsa-mir-181a-1	721	275.809516	N
hsa-mir-181a-2	2167	828.958699	N
hsa-mir-181b-1	236	90.278843	N
hsa-mir-181b-2	178	68.091670	N
hsa-mir-181c	114	43.609272	N
hsa-mir-181d	29	11.093587	N
hsa-mir-182	62058	23739.510344	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	13927	5327.599352	N
hsa-mir-184	25851	9888.976150	N
hsa-mir-185	87	33.280760	N
hsa-mir-186	312	119.351691	N
hsa-mir-187	89	34.045835	N
hsa-mir-188	4	1.530150	N
hsa-mir-18a	5	1.912687	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	10	3.825375	N
hsa-mir-190b	6	2.295225	N
hsa-mir-191	1820	696.218196	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2968	1135.371212	Y
hsa-mir-193a	1852	708.459395	N
hsa-mir-193b	117	44.756884	N
hsa-mir-194-1	366	140.008714	N
hsa-mir-194-2	325	124.324678	N
hsa-mir-195	230	87.983618	N
hsa-mir-196a-1	356	136.183339	N
hsa-mir-196a-2	363	138.861102	N
hsa-mir-196b	511	195.476647	N
hsa-mir-197	265	101.372430	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	21	8.033287	N
hsa-mir-198	1	0.382537	N
hsa-mir-199a-1	16502	6312.633338	Y
hsa-mir-199a-2	31596	12086.653918	Y
hsa-mir-199b	46549	17806.736714	Y
hsa-mir-19a	3	1.147612	N
hsa-mir-19b-1	18	6.885674	N
hsa-mir-19b-2	23	8.798362	N
hsa-mir-200a	3724	1424.569540	N
hsa-mir-200b	1801	688.949984	N
hsa-mir-200c	15179	5806.536265	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	16443	6290.063627	N
hsa-mir-203b	125	47.817184	N
hsa-mir-204	5	1.912687	N
hsa-mir-205	1248	477.406763	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	2	0.765075	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	90	34.428372	N
hsa-mir-20b	62	23.717323	N
hsa-mir-21	487663	186549.370477	N
hsa-mir-210	114	43.609272	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	2	0.765075	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.382537	N
hsa-mir-2115	8	3.060300	N
hsa-mir-2116	3	1.147612	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	6	2.295225	N
hsa-mir-214	62	23.717323	N
hsa-mir-215	142	54.320321	Y
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	14	5.355525	N
hsa-mir-218-1	25	9.563437	N
hsa-mir-218-2	24	9.180899	N
hsa-mir-219a-1	3	1.147612	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	2	0.765075	N
hsa-mir-22	99019	37878.477792	N
hsa-mir-221	125	47.817184	N
hsa-mir-222	63	24.099861	N
hsa-mir-223	72	27.542698	N
hsa-mir-224	30	11.476124	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	0	0.000000	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	53	20.274486	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	16278	6226.944945	Y
hsa-mir-23b	4808	1839.240158	Y
hsa-mir-23c	3	1.147612	N
hsa-mir-24-1	906	346.578948	N
hsa-mir-24-2	909	347.726561	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	11362	4346.390740	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	3924	1501.077034	N
hsa-mir-26a-2	3836	1467.413737	N
hsa-mir-26b	1759	672.883411	N
hsa-mir-27a	3369	1288.768738	Y
hsa-mir-27b	2081	796.060476	Y
hsa-mir-28	6876	2630.327647	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	19	7.268212	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	6	2.295225	N
hsa-mir-29a	8402	3214.079827	N
hsa-mir-29b-1	2249	860.326771	Y
hsa-mir-29b-2	2186	836.226911	Y
hsa-mir-29c	28568	10928.330457	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	8	3.060300	N
hsa-mir-301b	1	0.382537	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	0	0.000000	N
hsa-mir-3065	6	2.295225	N
hsa-mir-3074	4	1.530150	N
hsa-mir-30a	197639	75604.323132	Y
hsa-mir-30b	915	350.021786	Y
hsa-mir-30c-1	1035	395.926282	Y
hsa-mir-30c-2	1206	461.340189	Y
hsa-mir-30d	14329	5481.379415	N
hsa-mir-30e	74222	28392.696136	Y
hsa-mir-31	10	3.825375	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	1	0.382537	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	14	5.355525	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	4	1.530150	N
hsa-mir-3130-1	13	4.972987	N
hsa-mir-3130-2	27	10.328512	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	2	0.765075	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	9	3.442837	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	0	0.000000	N
hsa-mir-3158-1	0	0.000000	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	1	0.382537	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	3	1.147612	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	0	0.000000	N
hsa-mir-3174	0	0.000000	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	0	0.000000	N
hsa-mir-3178	1	0.382537	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	0	0.000000	N
hsa-mir-3188	0	0.000000	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	0	0.000000	N
hsa-mir-3191	0	0.000000	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	0	0.000000	N
hsa-mir-3194	1	0.382537	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	0	0.000000	N
hsa-mir-3199-2	3	1.147612	N
hsa-mir-32	113	43.226734	N
hsa-mir-3200	1	0.382537	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	643	245.971594	Y
hsa-mir-320b-1	4	1.530150	Y
hsa-mir-320b-2	28	10.711049	Y
hsa-mir-320c-1	0	0.000000	N
hsa-mir-320c-2	1	0.382537	N
hsa-mir-320d-1	2	0.765075	N
hsa-mir-320d-2	3	1.147612	N
hsa-mir-320e	0	0.000000	N
hsa-mir-323a	6	2.295225	N
hsa-mir-323b	7	2.677762	N
hsa-mir-324	17	6.503137	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	22	8.415824	N
hsa-mir-328	34	13.006274	N
hsa-mir-329-1	1	0.382537	N
hsa-mir-329-2	2	0.765075	N
hsa-mir-330	23	8.798362	N
hsa-mir-331	102	39.018822	N
hsa-mir-335	167	63.883758	N
hsa-mir-337	79	30.220460	N
hsa-mir-338	48	18.361799	N
hsa-mir-339	47	17.979261	N
hsa-mir-33a	26	9.945974	N
hsa-mir-33b	23	8.798362	N
hsa-mir-340	14	5.355525	N
hsa-mir-342	748	286.138028	N
hsa-mir-345	24	9.180899	N
hsa-mir-346	0	0.000000	N
hsa-mir-34a	111	42.461659	N
hsa-mir-34b	4	1.530150	N
hsa-mir-34c	6	2.295225	N
hsa-mir-3529	1	0.382537	N
hsa-mir-3591	0	0.000000	N
hsa-mir-3605	7	2.677762	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	810	309.855351	N
hsa-mir-3609	0	0.000000	N
hsa-mir-361	405	154.927676	N
hsa-mir-3610	21	8.033287	N
hsa-mir-3611	1	0.382537	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	17	6.503137	N
hsa-mir-3614	2	0.765075	N
hsa-mir-3615	12	4.590450	N
hsa-mir-3616	1	0.382537	N
hsa-mir-3617	0	0.000000	N
hsa-mir-3618	0	0.000000	N
hsa-mir-3619	0	0.000000	N
hsa-mir-362	3	1.147612	N
hsa-mir-3620	1	0.382537	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	0	0.000000	N
hsa-mir-3622b	0	0.000000	N
hsa-mir-363	91	34.810910	N
hsa-mir-3646	0	0.000000	N
hsa-mir-3648-1	0	0.000000	N
hsa-mir-3648-2	0	0.000000	N
hsa-mir-3649	0	0.000000	N
hsa-mir-3650	0	0.000000	N
hsa-mir-3651	3	1.147612	N
hsa-mir-3652	2	0.765075	N
hsa-mir-3653	52	19.891948	N
hsa-mir-3654	2	0.765075	N
hsa-mir-3655	3	1.147612	N
hsa-mir-3656	1	0.382537	N
hsa-mir-3657	0	0.000000	N
hsa-mir-3658	0	0.000000	N
hsa-mir-3659	0	0.000000	N
hsa-mir-365a	442	169.081562	Y
hsa-mir-365b	444	169.846637	Y
hsa-mir-3660	0	0.000000	N
hsa-mir-3661	0	0.000000	N
hsa-mir-3662	1	0.382537	N
hsa-mir-3663	0	0.000000	N
hsa-mir-3664	3	1.147612	N
hsa-mir-3665	0	0.000000	N
hsa-mir-3666	0	0.000000	N
hsa-mir-3667	0	0.000000	N
hsa-mir-3668	0	0.000000	N
hsa-mir-367	0	0.000000	N
hsa-mir-3670-1	0	0.000000	N
hsa-mir-3670-2	0	0.000000	N
hsa-mir-3670-3	0	0.000000	N
hsa-mir-3670-4	0	0.000000	N
hsa-mir-3671	0	0.000000	N
hsa-mir-3672	0	0.000000	N
hsa-mir-3674	0	0.000000	N
hsa-mir-3675	0	0.000000	N
hsa-mir-3677	4	1.530150	N
hsa-mir-3678	6	2.295225	N
hsa-mir-3679	0	0.000000	N
hsa-mir-3680-1	0	0.000000	N
hsa-mir-3680-2	0	0.000000	N
hsa-mir-3681	0	0.000000	N
hsa-mir-3682	3	1.147612	N
hsa-mir-3683	0	0.000000	N
hsa-mir-3684	0	0.000000	N
hsa-mir-3685	0	0.000000	N
hsa-mir-3686	0	0.000000	N
hsa-mir-3687-1	0	0.000000	N
hsa-mir-3687-2	0	0.000000	N
hsa-mir-3688-1	0	0.000000	N
hsa-mir-3688-2	1	0.382537	N
hsa-mir-3689a	0	0.000000	N
hsa-mir-3689b	0	0.000000	N
hsa-mir-3689c	0	0.000000	N
hsa-mir-3689d-1	0	0.000000	N
hsa-mir-3689d-2	0	0.000000	N
hsa-mir-3689e	0	0.000000	N
hsa-mir-3689f	0	0.000000	N
hsa-mir-369	22	8.415824	N
hsa-mir-3690-1	0	0.000000	N
hsa-mir-3690-2	0	0.000000	N
hsa-mir-3691	0	0.000000	N
hsa-mir-3692	0	0.000000	N
hsa-mir-370	22	8.415824	N
hsa-mir-3713	0	0.000000	N
hsa-mir-3714	0	0.000000	N
hsa-mir-371a	0	0.000000	N
hsa-mir-371b	0	0.000000	N
hsa-mir-372	0	0.000000	N
hsa-mir-373	0	0.000000	N
hsa-mir-374a	875	334.720287	N
hsa-mir-374b	212	81.097944	Y
hsa-mir-374c	14	5.355525	Y
hsa-mir-375	40344	15433.091710	N
hsa-mir-376a-1	4	1.530150	N
hsa-mir-376a-2	0	0.000000	N
hsa-mir-376b	4	1.530150	Y
hsa-mir-376c	9	3.442837	Y
hsa-mir-377	1	0.382537	N
hsa-mir-378a	485	185.530673	N
hsa-mir-378b	0	0.000000	N
hsa-mir-378c	7	2.677762	N
hsa-mir-378d-1	1	0.382537	N
hsa-mir-378d-2	1	0.382537	N
hsa-mir-378e	0	0.000000	N
hsa-mir-378f	1	0.382537	N
hsa-mir-378g	0	0.000000	N
hsa-mir-378h	0	0.000000	N
hsa-mir-378i	0	0.000000	N
hsa-mir-378j	0	0.000000	N
hsa-mir-379	2684	1026.730571	N
hsa-mir-380	0	0.000000	N
hsa-mir-381	52	19.891948	N
hsa-mir-382	62	23.717323	N
hsa-mir-383	1	0.382537	N
hsa-mir-384	0	0.000000	N
hsa-mir-3907	0	0.000000	N
hsa-mir-3908	0	0.000000	N
hsa-mir-3909	1	0.382537	N
hsa-mir-3910-1	0	0.000000	N
hsa-mir-3910-2	1	0.382537	N
hsa-mir-3911	0	0.000000	N
hsa-mir-3912	0	0.000000	N
hsa-mir-3913-1	1	0.382537	N
hsa-mir-3913-2	2	0.765075	N
hsa-mir-3914-1	0	0.000000	N
hsa-mir-3914-2	0	0.000000	N
hsa-mir-3915	0	0.000000	N
hsa-mir-3916	0	0.000000	N
hsa-mir-3917	1	0.382537	N
hsa-mir-3918	0	0.000000	N
hsa-mir-3919	9	3.442837	N
hsa-mir-3920	0	0.000000	N
hsa-mir-3921	0	0.000000	N
hsa-mir-3922	0	0.000000	N
hsa-mir-3923	0	0.000000	N
hsa-mir-3924	0	0.000000	N
hsa-mir-3925	0	0.000000	N
hsa-mir-3926-1	2	0.765075	N
hsa-mir-3926-2	0	0.000000	N
hsa-mir-3927	0	0.000000	N
hsa-mir-3928	1	0.382537	N
hsa-mir-3929	0	0.000000	N
hsa-mir-3934	1	0.382537	N
hsa-mir-3935	0	0.000000	N
hsa-mir-3936	0	0.000000	N
hsa-mir-3937	0	0.000000	N
hsa-mir-3938	0	0.000000	N
hsa-mir-3939	0	0.000000	N
hsa-mir-3940	2	0.765075	N
hsa-mir-3941	0	0.000000	N
hsa-mir-3942	0	0.000000	N
hsa-mir-3943	0	0.000000	N
hsa-mir-3944	1	0.382537	N
hsa-mir-3945	0	0.000000	N
hsa-mir-3960	0	0.000000	N
hsa-mir-3972	0	0.000000	N
hsa-mir-3973	0	0.000000	N
hsa-mir-3974	0	0.000000	N
hsa-mir-3975	0	0.000000	N
hsa-mir-3976	0	0.000000	N
hsa-mir-3977	0	0.000000	N
hsa-mir-3978	0	0.000000	N
hsa-mir-409	46	17.596724	N
hsa-mir-410	12	4.590450	N
hsa-mir-411	10	3.825375	N
hsa-mir-412	10	3.825375	N
hsa-mir-421	3	1.147612	N
