miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	35302	15958.829457	N
hsa-let-7a-2	35461	16030.707931	N
hsa-let-7a-3	35439	16020.762481	N
hsa-let-7b	109890	49677.518809	N
hsa-let-7c	362	163.647846	N
hsa-let-7d	920	415.900603	N
hsa-let-7e	2317	1047.436628	N
hsa-let-7f-1	8383	3789.668215	N
hsa-let-7f-2	8452	3820.860761	N
hsa-let-7g	1145	517.615425	N
hsa-let-7i	664	300.171740	N
hsa-mir-100	2461	1112.534114	N
hsa-mir-101-1	10402	4702.389213	N
hsa-mir-101-2	10494	4743.979274	N
hsa-mir-103a-1	47816	21615.981794	Y
hsa-mir-103a-2	47558	21499.348799	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.452066	N
hsa-mir-106a	123	55.604102	Y
hsa-mir-106b	1022	462.011322	N
hsa-mir-107	157	70.974342	Y
hsa-mir-10a	144649	65390.876497	N
hsa-mir-10b	45602	20615.107951	N
hsa-mir-1-1	1	0.452066	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	58	26.219821	N
hsa-mir-1181	1	0.452066	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	1.808263	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.904132	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	1	0.452066	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	2	0.904132	N
hsa-mir-1249	10	4.520659	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.452066	N
hsa-mir-1255a	1	0.452066	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3184	1439.377740	N
hsa-mir-125b-1	194	87.700779	N
hsa-mir-125b-2	160	72.330540	N
hsa-mir-126	5858	2648.201885	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	80	36.165270	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	17	7.685120	N
hsa-mir-1269b	1	0.452066	N
hsa-mir-127	125	56.508234	N
hsa-mir-1270	3	1.356198	N
hsa-mir-1271	2	0.904132	N
