miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	27329	10682.409302	N
hsa-let-7a-2	54431	21276.088430	Y
hsa-let-7a-3	27398	10709.380147	N
hsa-let-7b	87157	34068.086923	N
hsa-let-7c	28136	10997.850932	Y
hsa-let-7d	1273	497.592559	N
hsa-let-7e	1957	764.955725	N
hsa-let-7f-1	8527	3333.049293	N
hsa-let-7f-2	8850	3459.304121	N
hsa-let-7g	1377	538.244268	N
hsa-let-7i	2269	886.910853	N
hsa-mir-100	56078	21919.870790	Y
hsa-mir-101-1	16406	6412.807165	N
hsa-mir-101-2	16352	6391.699546	N
hsa-mir-103a-1	26480	10350.550635	Y
hsa-mir-103a-2	26592	10394.329399	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	25	9.772046	N
hsa-mir-105-2	25	9.772046	N
hsa-mir-106a	50	19.544091	Y
hsa-mir-106b	1398	546.452787	N
hsa-mir-107	201	78.567246	Y
hsa-mir-10a	66309	25918.982707	N
hsa-mir-10b	461376	180343.491310	N
hsa-mir-1-1	8	3.127055	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.781764	N
hsa-mir-1180	27	10.553809	N
hsa-mir-1181	1	0.390882	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	1.563527	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	11	4.299700	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	1.172645	N
hsa-mir-1227	3	1.172645	N
hsa-mir-1228	4	1.563527	N
hsa-mir-1229	1	0.390882	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
