miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	55370	5964.907556	N
hsa-let-7a-2	110546	11908.915851	Y
hsa-let-7a-3	56353	6070.804325	N
hsa-let-7b	98184	10577.180485	N
hsa-let-7c	85837	9247.061041	Y
hsa-let-7d	3102	334.172715	N
hsa-let-7e	7385	795.572373	N
hsa-let-7f-1	12298	1324.840764	N
hsa-let-7f-2	12604	1357.805578	N
hsa-let-7g	1965	211.685811	N
hsa-let-7i	4613	496.949947	N
hsa-mir-100	178641	19244.664090	Y
hsa-mir-101-1	64873	6988.648146	N
hsa-mir-101-2	66491	7162.952290	N
hsa-mir-103a-1	335814	36176.620299	Y
hsa-mir-103a-2	335631	36156.906048	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	28	3.016388	N
hsa-mir-105-2	48	5.170951	N
hsa-mir-106a	283	30.487066	Y
hsa-mir-106b	12855	1384.845343	N
hsa-mir-107	3477	374.570771	Y
hsa-mir-10a	85241	9182.855065	N
hsa-mir-10b	288999	31133.327049	N
hsa-mir-1-1	7	0.754097	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.107728	N
hsa-mir-1180	946	101.910828	N
hsa-mir-1181	2	0.215456	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.538641	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	11	1.185010	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.215456	N
hsa-mir-1224	2	0.215456	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	66	7.110058	N
hsa-mir-1227	1	0.107728	N
hsa-mir-1228	22	2.370019	N
hsa-mir-1229	41	4.416854	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.215456	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.323184	N
hsa-mir-1238	2	0.215456	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	2	0.215456	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	0.969553	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	445	47.939026	N
hsa-mir-1248	7	0.754097	N
hsa-mir-1249	20	2.154563	N
hsa-mir-1250	1	0.107728	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	27	2.908660	N
hsa-mir-1254-2	26	2.800932	N
