miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	26739	11815.757436	N
hsa-let-7a-2	52858	23357.541665	Y
hsa-let-7a-3	27101	11975.722439	N
hsa-let-7b	116634	51539.663146	N
hsa-let-7c	2117	935.485938	Y
hsa-let-7d	1150	508.176112	N
hsa-let-7e	975	430.844964	N
hsa-let-7f-1	5892	2603.629261	N
hsa-let-7f-2	5942	2625.723875	N
hsa-let-7g	1080	477.243653	N
hsa-let-7i	795	351.304356	N
hsa-mir-100	3005	1327.886275	N
hsa-mir-101-1	12184	5384.015431	N
hsa-mir-101-2	12140	5364.572171	N
hsa-mir-103a-1	21241	9386.233730	Y
hsa-mir-103a-2	21240	9385.791838	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	39	17.233799	Y
hsa-mir-106b	983	434.380102	N
hsa-mir-107	177	78.214932	Y
hsa-mir-10a	20301	8970.854995	N
hsa-mir-10b	86032	38016.875866	N
hsa-mir-1-1	6	2.651354	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	34	15.024337	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	1.325677	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.883785	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	1	0.441892	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	1.325677	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.883785	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	14	6.186492	N
hsa-mir-1248	2	0.883785	N
hsa-mir-1249	8	3.535138	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.441892	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3798	1678.306846	N
hsa-mir-125b-1	359	158.639325	N
hsa-mir-125b-2	366	161.732571	N
hsa-mir-126	8362	3695.103171	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.441892	N
hsa-mir-1266	66	29.164890	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	947	418.471981	N
hsa-mir-1270	25	11.047307	N
hsa-mir-1271	20	8.837845	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	6	2.651354	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	134	59.213564	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	76	33.583813	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	1.325677	N
hsa-mir-1285-1	2	0.883785	N
