miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	16251	9838.024622	N
hsa-let-7a-2	16150	9776.881278	N
hsa-let-7a-3	32824	19870.981490	Y
hsa-let-7b	27410	16593.456088	Y
hsa-let-7c	1300	786.993539	N
hsa-let-7d	695	420.738854	N
hsa-let-7e	1079	653.204638	N
hsa-let-7f-1	1022	618.697998	N
hsa-let-7f-2	1075	650.783119	N
hsa-let-7g	791	478.855300	N
hsa-let-7i	741	448.586317	N
hsa-mir-100	2536	1535.242781	N
hsa-mir-101-1	15566	9423.339565	N
hsa-mir-101-2	15493	9379.146851	N
hsa-mir-103a-1	31929	19329.166707	Y
hsa-mir-103a-2	31907	19315.848355	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	156	94.439225	Y
hsa-mir-106b	2551	1544.323476	N
hsa-mir-107	381	230.649645	Y
hsa-mir-10a	12693	7684.083843	N
hsa-mir-10b	75092	45459.168354	N
hsa-mir-1-1	4	2.421519	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	1.210759	N
hsa-mir-1180	42	25.425945	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.605380	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.605380	N
hsa-mir-1224	3	1.816139	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	6.053796	N
hsa-mir-1227	3	1.816139	N
hsa-mir-1228	6	3.632278	N
hsa-mir-1229	4	2.421519	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.605380	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	2.421519	N
hsa-mir-124-2	1	0.605380	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	1	0.605380	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	2.421519	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	65	39.349677	N
hsa-mir-1248	4	2.421519	N
hsa-mir-1249	13	7.869935	N
hsa-mir-1250	2	1.210759	N
hsa-mir-1251	22	13.318352	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.605380	N
hsa-mir-1254-2	1	0.605380	N
hsa-mir-1255a	1	0.605380	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	1.210759	N
hsa-mir-125a	2850	1725.331990	N
hsa-mir-125b-1	548	331.748046	N
hsa-mir-125b-2	557	337.196463	N
hsa-mir-126	7444	4506.446082	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	1.210759	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	46	27.847464	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	1.210759	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1121	678.630583	N
hsa-mir-1270	1	0.605380	N
hsa-mir-1271	20	12.107593	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	1.816139	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	235	142.264217	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	137	82.937011	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.605380	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.605380	N
hsa-mir-1287	47	28.452843	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	1	0.605380	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	2.421519	N
hsa-mir-129-1	3	1.816139	N
hsa-mir-1292	2	1.210759	N
hsa-mir-129-2	1	0.605380	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	2	1.210759	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	27	16.345250	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	155	93.833845	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	126	76.277835	N
hsa-mir-1307	4262	2580.128050	N
hsa-mir-130a	203	122.892068	N
hsa-mir-130b	466	282.106915	N
hsa-mir-132	130	78.699354	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	5	3.026898	N
hsa-mir-133a-2	1	0.605380	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	728	440.716382	N
hsa-mir-1343	9	5.448417	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	6	3.632278	N
hsa-mir-135b	83	50.246511	N
hsa-mir-136	111	67.197141	N
hsa-mir-137	5	3.026898	N
hsa-mir-138-1	3	1.816139	N
hsa-mir-138-2	1	0.605380	N
hsa-mir-139	35	21.188288	N
hsa-mir-140	495	299.662925	N
hsa-mir-141	3883	2350.689164	N
hsa-mir-142	15293	9258.070921	N
hsa-mir-143	39831	24112.876667	N
hsa-mir-144	70	42.376575	N
hsa-mir-145	3041	1840.959503	N
hsa-mir-1468	13	7.869935	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	328	198.564524	N
hsa-mir-146b	995	602.352747	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	121200	73372.013057	N
hsa-mir-148b	691	418.317335	N
hsa-mir-149	223	134.999661	N
hsa-mir-150	5058	3062.010248	N
hsa-mir-151a	4408	2668.513478	N
hsa-mir-151b	8	4.843037	N
hsa-mir-152	219	132.578142	N
hsa-mir-153-1	9	5.448417	N
hsa-mir-153-2	245	148.318013	N
hsa-mir-1537	4	2.421519	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	1	0.605380	N
hsa-mir-154	8	4.843037	N
hsa-mir-155	909	550.290098	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	563	340.828741	N
hsa-mir-15b	1371	829.975494	N
hsa-mir-16-1	2946	1783.448436	N
hsa-mir-16-2	3131	1895.443671	N
hsa-mir-17	6803	4118.397730	Y
hsa-mir-181a-1	1040	629.594832	N
hsa-mir-181a-2	1582	957.710599	N
hsa-mir-181b-1	287	173.743958	N
hsa-mir-181b-2	191	115.627512	N
hsa-mir-181c	140	84.753150	N
hsa-mir-181d	18	10.896834	N
hsa-mir-182	39804	24096.531417	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	20010	12113.646710	N
hsa-mir-184	2	1.210759	N
hsa-mir-185	110	66.591761	N
hsa-mir-186	2271	1374.817175	N
hsa-mir-187	5	3.026898	N
hsa-mir-188	12	7.264556	N
hsa-mir-18a	208	125.918966	Y
hsa-mir-18b	10	6.053796	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	12	7.264556	N
hsa-mir-190b	144	87.174669	N
hsa-mir-191	2740	1658.740229	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	11529	6979.421935	Y
hsa-mir-193a	304	184.035412	N
hsa-mir-193b	425	257.286349	N
hsa-mir-194-1	313	189.483829	N
hsa-mir-194-2	362	219.147432	N
hsa-mir-195	86	52.062650	N
hsa-mir-196a-1	1012	612.644201	N
hsa-mir-196a-2	1143	691.948935	N
hsa-mir-196b	919	556.343894	N
hsa-mir-197	1569	949.840664	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	28	16.950630	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	8199	4963.507715	Y
hsa-mir-199a-2	15116	9150.918724	Y
hsa-mir-199b	22134	13399.473078	Y
hsa-mir-19a	259	156.793328	N
hsa-mir-19b-1	405	245.178757	N
hsa-mir-19b-2	380	230.044265	N
hsa-mir-200a	1880	1138.113734	N
hsa-mir-200b	1187	718.585639	N
hsa-mir-200c	22443	13586.535388	N
hsa-mir-202	2	1.210759	N
hsa-mir-203a	4483	2713.916952	N
hsa-mir-203b	32	19.372149	N
hsa-mir-204	7	4.237658	N
hsa-mir-205	12319	7457.671855	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	700	423.765752	N
hsa-mir-20b	13	7.869935	N
hsa-mir-21	221586	134143.654168	N
hsa-mir-210	1301	787.598919	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	4	2.421519	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	1	0.605380	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	16	9.686074	N
hsa-mir-214	64	38.744297	N
hsa-mir-215	134	81.120873	Y
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	11	6.659176	N
hsa-mir-218-1	59	35.717399	N
hsa-mir-218-2	44	26.636704	N
hsa-mir-219a-1	2	1.210759	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	1	0.605380	N
hsa-mir-22	76172	46112.978371	N
hsa-mir-221	110	66.591761	N
hsa-mir-222	74	44.798094	N
hsa-mir-223	146	88.385428	N
hsa-mir-224	17	10.291454	N
hsa-mir-2276	2	1.210759	N
hsa-mir-2277	7	4.237658	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	348	210.672117	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	8041	4867.857731	Y
hsa-mir-23b	2705	1637.551942	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	1727	1045.490648	N
hsa-mir-24-2	1730	1047.306787	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	27018	16356.147267	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	1962	1187.754865	N
hsa-mir-26a-2	1948	1179.279550	N
hsa-mir-26b	2247	1360.288064	N
hsa-mir-27a	2755	1667.820924	Y
hsa-mir-27b	1943	1176.252652	Y
hsa-mir-28	8228	4981.063725	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	6	3.632278	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	2	1.210759	N
hsa-mir-29a	5968	3612.905725	N
hsa-mir-29b-1	464	280.896156	N
hsa-mir-29b-2	1248	755.513798	Y
hsa-mir-29c	4810	2911.876096	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	395	239.124960	N
hsa-mir-301b	37	22.399047	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	4	2.421519	N
hsa-mir-3065	47	28.452843	N
hsa-mir-3074	193	116.838272	N
hsa-mir-30a	21113	12781.380459	Y
hsa-mir-30b	4729	2862.840344	Y
hsa-mir-30c-1	1608	973.450470	Y
hsa-mir-30c-2	1613	976.477368	Y
hsa-mir-30d	19103	11564.567371	N
hsa-mir-30e	52441	31746.713999	Y
hsa-mir-31	116	70.224039	N
hsa-mir-3115	1	0.605380	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	1	0.605380	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
