miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	39447	10703.049855	N
hsa-let-7a-2	79105	21463.349780	Y
hsa-let-7a-3	40151	10894.064307	N
hsa-let-7b	103458	28070.984661	N
hsa-let-7c	51158	13880.564415	Y
hsa-let-7d	2066	560.562299	N
hsa-let-7e	3328	902.977411	N
hsa-let-7f-1	10130	2748.546025	N
hsa-let-7f-2	9922	2692.109936	N
hsa-let-7g	1996	541.569385	N
hsa-let-7i	2519	683.473587	N
hsa-mir-100	28367	7696.742851	Y
hsa-mir-101-1	10722	2909.171814	N
hsa-mir-101-2	10867	2948.514279	N
hsa-mir-103a-1	50979	13831.996820	Y
hsa-mir-103a-2	51104	13865.912738	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	158	42.869721	Y
hsa-mir-106b	1812	491.645153	N
hsa-mir-107	428	116.128104	Y
hsa-mir-10a	149502	40563.981023	N
hsa-mir-10b	967126	262407.731744	N
hsa-mir-1-1	10	2.713273	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	1.085309	N
hsa-mir-1180	55	14.923004	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	16	4.341238	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.542655	N
hsa-mir-1225	2	0.542655	N
hsa-mir-1226	4	1.085309	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	2.713273	N
hsa-mir-1229	6	1.627964	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
